Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PHI 20,0,0,LeSean McCoy up the middle for 2 yards (tackle by Johnathan Hankins),0.280,0.000
1,14:43,2,8,PHI 22,0,0,Nick Foles pass complete short middle to Riley Cooper for 11 yards (tackle by Prince Amukamara),0.000,1.140
1,14:17,1,10,PHI 33,0,0,LeSean McCoy right end for 12 yards (tackle by Jacquian Williams),1.140,1.930
1,13:50,1,10,PHI 45,0,0,LeSean McCoy up the middle for 18 yards (tackle by Trumaine McBride),1.930,3.120
1,13:17,1,10,NYG 37,0,0,Nick Foles pass complete short middle to Zach Ertz for 9 yards (tackle by Mathias Kiwanuka and Jon Beason),3.120,3.790
1,12:56,2,1,NYG 28,0,0,Nick Foles pass complete short right to Jeremy Maclin for 9 yards (tackle by Jon Beason),3.790,4.310
1,12:25,1,10,NYG 19,0,0,Nick Foles pass complete short right to LeSean McCoy for 2 yards (tackle by Jason Pierre-Paul),4.310,4.030
1,11:48,2,8,NYG 17,0,0,LeSean McCoy left end for 4 yards (tackle by Jason Pierre-Paul),4.030,3.960
1,11:08,3,4,NYG 13,0,0,Nick Foles pass incomplete short right intended for Darren Sproles (defended by Jacquian Williams),3.960,2.640
1,10:59,4,4,NYG 13,0,3,Cody Parkey 31 yard field goal good,2.640,3.000
1,10:59,,,PHI 35,0,3,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
1,10:55,1,10,NYG 20,0,3,Eli Manning pass complete short middle to Victor Cruz for 13 yards (tackle by Nate Allen),0.280,1.140
1,10:28,1,10,NYG 33,0,3,Andre Williams right end for 1 yard (tackle by Cedric Thornton),1.140,0.730
1,9:55,2,9,NYG 34,0,3,Andre Williams right guard for 8 yards (tackle by Trent Cole),0.730,1.090
1,9:19,3,1,NYG 42,0,3,"Eli Manning sacked by Connor Barwin for -7 yards. Eli Manning fumbles (forced by Connor Barwin), recovered by Justin Pugh at NYG-31",1.090,-1.310
1,8:30,4,12,NYG 31,0,3,"Steve Weatherford punts 50 yards, returned by Darren Sproles for no gain",-1.310,-0.150
1,8:27,1,10,PHI 19,0,3,Nick Foles pass incomplete short middle intended for Jordan Matthews,0.150,-0.390
1,8:21,2,10,PHI 19,0,3,Nick Foles pass complete short left to Riley Cooper for 14 yards (tackle by Prince Amukamara),-0.390,1.140
1,7:50,1,10,PHI 33,0,3,LeSean McCoy up the middle for 5 yards (tackle by Jason Pierre-Paul),1.140,1.270
1,7:18,2,5,PHI 38,0,3,LeSean McCoy left tackle for 18 yards (tackle by Antrel Rolle),1.270,2.650
,,,,,,,"NYG challenged the runner was down by contact ruling, and the play was upheld.",,
1,6:31,1,10,NYG 44,0,3,Nick Foles pass incomplete short left intended for Riley Cooper,2.650,2.110
1,6:23,2,10,NYG 44,0,3,Darren Sproles left end for 2 yards (tackle by Prince Amukamara and Jacquian Williams),2.110,1.690
1,5:40,3,8,NYG 42,0,3,Nick Foles pass complete short right to Zach Ertz for 23 yards (tackle by Quintin Demps),1.690,4.310
1,5:12,1,10,NYG 19,0,3,LeSean McCoy up the middle for 2 yards (tackle by Trumaine McBride),4.310,4.030
1,4:41,2,8,NYG 17,0,3,LeSean McCoy right end for 2 yards (tackle by Mathias Kiwanuka),4.030,3.580
1,4:02,3,6,NYG 15,0,9,"Nick Foles pass complete short right to Zach Ertz for 15 yards, touchdown",3.580,7.000
1,4:02,,,NYG 2,0,10,Cody Parkey kicks extra point good,0.000,0.000
1,4:02,,,PHI 35,0,10,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
1,3:56,1,10,NYG 20,0,10,Eli Manning pass complete deep right to Rueben Randle for 17 yards,0.280,1.400
1,3:26,1,10,NYG 37,0,10,Eli Manning pass complete short left to Odell Beckham for 10 yards (tackle by Cary Williams),1.400,2.060
1,3:03,1,10,NYG 47,0,10,Andre Williams up the middle for no gain (tackle by DeMeco Ryans and Fletcher Cox),2.060,1.520
1,2:27,2,10,NYG 47,0,10,Eli Manning sacked by Trent Cole for -9 yards,1.520,1.520
1,1:41,2,10,NYG 47,0,10,Timeout #2 by New York Giants,1.520,-0.360
1,1:41,3,19,NYG 38,0,10,Eli Manning pass complete short middle to Daniel Fells for 20 yards (tackle by Nate Allen),-0.360,2.790
1,1:02,1,10,PHI 42,0,10,"Andre Williams left end for 1 yard (tackle by Brandon Bair). Penalty on John Jerry: Offensive Holding, 10 yards",2.790,2.190
1,0:25,1,19,NYG 49,0,10,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",2.190,1.860
1,0:07,1,24,NYG 44,0,10,Eli Manning sacked by Vinny Curry for -2 yards,1.860,0.080
Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,26,NYG 42,0,10,"Penalty on Trent Cole: Neutral Zone Infraction, 5 yards (no play)",0.080,0.760
2,15:00,2,21,NYG 47,0,10,Eli Manning sacked by Connor Barwin for -4 yards,0.760,-0.430
2,14:25,3,25,NYG 43,0,10,Peyton Hillis right end for no gain (tackle by Connor Barwin),-0.430,-0.520
2,13:46,4,25,NYG 43,0,10,"Penalty on Mark Herzlich: False Start, 5 yards (no play)",-0.520,-0.850
2,13:40,4,30,NYG 38,0,10,"Steve Weatherford punts 47 yards, returned by Darren Sproles for 6 yards (tackle by Zackary Bowman)",-0.850,-0.340
2,13:30,1,10,PHI 21,0,10,Nick Foles pass complete deep left to Brent Celek for 24 yards (tackle by Prince Amukamara),0.340,1.930
