Unnamed: 0,NYG,PHI
First Downs,12,24
Rush-Yds-TDs,24-86-0,36-203-1
Cmp-Att-Yd-TD-INT,17-28-211-0-0,21-34-248-2-2
Sacked-Yards,8-43,1-3
Net Pass Yards,168,245
Total Yards,254,448
Fumbles-Lost,3-1,1-0
Turnovers,1,2
Penalties-Yards,10-75,3-25
Third Down Conv.,2-14,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,27:34,32:26
