Quarter,Time,Tm,Detail,IND,TEN
1.0,11:36,Titans,Chris Johnson 30 yard rush (Rob Bironas kick),0,7
,4:06,Titans,Chris Johnson 7 yard rush (Rob Bironas kick),0,14
2.0,11:26,Colts,Adam Vinatieri 48 yard field goal,3,14
,2:32,Titans,Rob Bironas 25 yard field goal,3,17
,0:00,Colts,Adam Vinatieri 30 yard field goal,6,17
3.0,8:33,Colts,Donald Brown 6 yard rush (Adam Vinatieri kick),13,17
,7:36,Colts,Andrew Luck 11 yard rush (Adam Vinatieri kick),20,17
,1:27,Colts,Adam Vinatieri 50 yard field goal,23,17
4.0,11:39,Titans,Rob Bironas 38 yard field goal,23,20
,3:01,Colts,Donald Brown 11 yard rush (Adam Vinatieri kick),30,20
,1:54,Titans,Delanie Walker 19 yard pass from Ryan Fitzpatrick (Rob Bironas kick),30,27
