Unnamed: 0,IND,TEN
First Downs,24,20
Rush-Yds-TDs,32-137-3,24-122-2
Cmp-Att-Yd-TD-INT,23-36-232-0-0,22-28-222-1-0
Sacked-Yards,1-3,2-4
Net Pass Yards,229,218
Total Yards,366,340
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-51,4-34
Third Down Conv.,6-13,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:23,27:37
