Unnamed: 0,CAR,TAM
First Downs,14,16
Rush-Yds-TDs,31-100-1,22-85-0
Cmp-Att-Yd-TD-INT,18-32-154-1-1,21-38-210-0-2
Sacked-Yards,0-0,3-16
Net Pass Yards,154,194
Total Yards,254,279
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,5-51,6-55
Third Down Conv.,8-17,2-12
Fourth Down Conv.,0-0,0-1
Time of Possession,32:11,27:49
