Quarter,Time,Tm,Detail,CAR,TAM
1,1:34,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),7,0
2,0:17,Panthers,Graham Gano 28 yard field goal,10,0
3,4:49,Buccaneers,Patrick Murray 41 yard field goal,10,3
4,8:48,Panthers,Kelvin Benjamin 25 yard pass from Cam Newton (Graham Gano kick),17,3
