Unnamed: 0,HOU,GNB
First Downs,17,16
Rush-Yds-TDs,27-123-0,26-109-1
Cmp-Att-Yd-TD-INT,22-35-202-2-0,20-30-209-2-0
Sacked-Yards,2-18,1-9
Net Pass Yards,184,200
Total Yards,307,309
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,3-12,4-30
Third Down Conv.,6-15,4-12
Fourth Down Conv.,1-2,1-2
Time of Possession,31:31,28:29
