Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
1,6:15,4,4,HOU 22,0,0,"Shane Lechler punts 52 yards, returned by Randall Cobb for 21 yards (tackle by Corey Moore)",-1.900,-2.060
1,6:03,1,10,GNB 47,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by A.J. Bouye),2.060,2.730
1,5:57,2,1,HOU 44,0,0,James Starks right tackle for no gain (tackle by Whitney Mercilus),2.730,2.020
1,5:30,3,1,HOU 44,0,0,James Starks left end for -3 yards (tackle by Corey Moore),2.020,0.130
1,4:51,4,4,HOU 47,0,0,"Jake Schum punts 47 yards, touchback",0.130,-0.280
1,4:41,1,10,HOU 20,0,0,Lamar Miller right end for -4 yards (tackle by Jake Ryan),0.280,-0.940
1,4:04,2,14,HOU 16,0,0,Brock Osweiler pass complete short right to Lamar Miller for 7 yards (tackle by Julius Peppers),-0.940,-0.560
1,3:18,3,7,HOU 23,0,0,Jonathan Grimes middle for 8 yards (tackle by Joe Thomas and Julius Peppers),-0.560,1.000
1,2:39,1,10,HOU 31,0,0,Brock Osweiler pass incomplete short right intended for DeAndre Hopkins (defended by Quinten Rollins),1.000,0.460
1,2:35,2,10,HOU 31,0,0,Lamar Miller middle for 3 yards (tackle by Datone Jones),0.460,0.170
1,1:55,3,7,HOU 34,0,0,Brock Osweiler left tackle for 8 yards (tackle by Ladarius Gunter),0.170,1.730
1,1:12,1,10,HOU 42,0,0,Lamar Miller left tackle for 2 yards (tackle by Joe Thomas),1.730,1.460
1,0:33,2,8,HOU 44,0,0,Lamar Miller right tackle for 3 yards (tackle by Datone Jones),1.460,1.160
Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,HOU 47,0,0,Brock Osweiler pass complete short left to C.J. Fiedorowicz for 4 yards (tackle by Morgan Burnett),1.160,0.000
2,14:06,4,1,GNB 49,0,0,Alfred Blue left tackle for no gain (tackle by Datone Jones and Ha Ha Clinton-Dix),0.000,-2.260
2,14:00,1,10,,0,0,--,2.260,2.660
2,13:18,2,3,HOU 43,0,0,Christine Michael left guard for 2 yards (tackle by Benardrick McKinney and Brian Cushing),2.660,2.210
2,12:37,3,1,HOU 41,0,0,Christine Michael left end for -1 yards (tackle by Whitney Mercilus and A.J. Bouye),2.210,0.460
2,11:49,4,2,HOU 42,0,0,Christine Michael left end for 5 yards (tackle by Quintin Demps),0.460,3.120
2,11:15,1,10,HOU 37,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 6 yards (tackle by Johnathan Joseph),3.120,3.380
2,10:32,2,4,HOU 31,0,0,Aaron Rodgers pass complete short left to Ty Montgomery for 6 yards (tackle by Brian Cushing),3.380,3.910
2,9:41,1,10,HOU 25,0,0,Ty Montgomery left guard for 5 yards (tackle by Quintin Demps and Benardrick McKinney),3.910,4.040
2,9:02,2,5,HOU 20,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by Kareem Jackson),4.040,4.710
2,8:55,1,10,HOU 13,0,0,Aaron Rodgers pass complete short left to Aaron Ripkowski for 4 yards (tackle by Quintin Demps),4.710,4.770
2,8:10,2,6,HOU 9,0,6,"Aaron Rodgers pass complete short middle to Randall Cobb for 9 yards, touchdown",4.770,7.000
2,8:02,,,HOU 15,0,7,Mason Crosby kicks extra point good,0.000,0.000
2,8:02,,,GNB 35,0,7,"Mason Crosby kicks off 59 yards, returned by Akeem Hunt for 29 yards (tackle by Josh Hawkins)",0.000,-1.270
2,7:55,1,10,HOU 35,0,7,Brock Osweiler pass complete short right to Will Fuller for 10 yards (tackle by Morgan Burnett),1.270,1.930
2,7:20,1,10,HOU 45,0,7,Lamar Miller middle for no gain (tackle by Joe Thomas and Letroy Guion),1.930,1.380
2,6:44,2,10,HOU 45,0,7,Brock Osweiler sacked by Dean Lowry for -8 yards,1.380,-0.360
2,5:57,3,18,HOU 37,0,7,Brock Osweiler pass complete short right to Will Fuller for 11 yards (tackle by Ladarius Gunter),-0.360,-0.190
2,5:20,4,7,HOU 48,0,7,"Shane Lechler punts 35 yards, returned by Randall Cobb for 23 yards (tackle by Shane Lechler)",-0.190,-1.600
2,5:06,1,10,GNB 40,0,7,Christine Michael middle for 5 yards (tackle by Quintin Demps and Joel Heath),1.600,1.730
2,4:21,2,5,GNB 45,0,7,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.730,1.030
2,4:16,3,5,GNB 45,0,7,Aaron Rodgers pass incomplete short left intended for Ty Montgomery,1.030,-0.390
2,4:10,4,5,GNB 45,0,7,"Jake Schum punts 44 yards, fair catch by Will Fuller",-0.390,0.370
2,4:03,1,10,HOU 11,0,7,Brock Osweiler pass incomplete short left intended for DeAndre Hopkins (defended by Ladarius Gunter),-0.370,-0.780
2,3:59,2,10,HOU 11,0,7,Brock Osweiler pass incomplete deep right intended for Braxton Miller,-0.780,-1.420
2,3:54,3,10,HOU 11,0,7,Brock Osweiler pass incomplete short middle intended for Braxton Miller,-1.420,-2.490
2,3:46,4,10,HOU 11,0,7,"Shane Lechler punts 51 yards, returned by Marwin Evans for no gain. Penalty on Josh Hawkins: Offensive Holding, 10 yards",-2.490,-0.810
2,3:38,1,10,GNB 28,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 8 yards (tackle by Johnathan Joseph),0.810,1.340
2,3:08,2,2,GNB 36,0,7,Aaron Ripkowski right guard for 10 yards (tackle by Benardrick McKinney),1.340,1.990
2,2:30,1,10,GNB 46,0,7,Aaron Rodgers pass complete short left to Randall Cobb for 3 yards (tackle by Kareem Jackson),1.990,1.860
2,2:00,2,7,GNB 49,0,7,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,1.860,1.160
2,1:52,3,7,GNB 49,0,7,Aaron Rodgers pass incomplete short middle intended for Davante Adams,1.160,-0.130
2,1:47,4,7,GNB 49,0,7,Jake Schum punts 40 yards,-0.130,0.370
2,1:37,1,10,HOU 11,0,7,Brock Osweiler pass complete short left to C.J. Fiedorowicz for 8 yards (tackle by Micah Hyde),-0.370,0.170
2,1:12,2,2,HOU 19,0,7,Brock Osweiler pass complete short left to C.J. Fiedorowicz for 13 yards (tackle by Ha Ha Clinton-Dix),0.170,1.070
2,1:05,1,10,HOU 32,0,7,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 9 yards (tackle by Morgan Burnett),1.070,0.000
2,0:56,,,,0,7,Timeout #2 by Houston Texans,0.000,-1.740
2,0:56,2,1,HOU 41,0,7,Brock Osweiler sacked by Julius Peppers for -10 yards,1.740,-0.290
2,0:10,3,11,HOU 31,0,7,Jonathan Grimes middle for 7 yards (tackle by Morgan Burnett and Joe Thomas),-0.290,-0.850
Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,0,7,"Nick Novak kicks off 63 yards, returned by Jeff Janis for 28 yards (tackle by Alfred Blue)",0.000,-0.940
3,14:53,1,10,GNB 30,0,7,James Starks middle for no gain (tackle by Benardrick McKinney and Brian Cushing),0.940,0.390
3,14:09,2,10,GNB 30,0,7,Aaron Rodgers sacked by Whitney Mercilus for -9 yards,0.390,-1.480
3,13:23,3,19,GNB 21,0,7,Aaron Rodgers pass complete short middle to Ty Montgomery for 10 yards (tackle by Quintin Demps),-1.480,-1.310
3,12:42,4,9,GNB 31,0,7,"Jake Schum punts 48 yards, returned by Will Fuller for 16 yards (tackle by Josh Hawkins)",-1.310,-1.400
3,12:29,1,10,HOU 37,0,7,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz (defended by Dean Lowry),1.400,0.860
3,12:25,2,10,HOU 37,0,7,Lamar Miller middle for 1 yard (tackle by Julius Peppers),0.860,0.300
3,11:47,3,9,HOU 38,0,7,Brock Osweiler pass complete deep right to Will Fuller for 24 yards (tackle by Ha Ha Clinton-Dix and Damarious Randall),0.300,3.050
3,11:18,1,10,GNB 38,0,7,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 8 yards (tackle by Morgan Burnett),3.050,3.590
3,10:38,2,2,GNB 30,0,7,Lamar Miller middle for 4 yards (tackle by Ha Ha Clinton-Dix),3.590,3.840
3,9:54,1,10,GNB 26,0,7,Brock Osweiler pass complete short middle to DeAndre Hopkins for 11 yards (tackle by Morgan Burnett and Jake Ryan),3.840,4.580
3,9:13,1,10,GNB 15,0,7,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz,4.580,3.950
3,9:09,2,10,GNB 15,0,7,Lamar Miller right tackle for 4 yards (tackle by Jake Ryan),3.950,3.780
3,8:24,3,6,GNB 11,0,7,Jonathan Grimes middle for 5 yards (tackle by Datone Jones),3.780,0.000
3,7:37,,,,0,7,Timeout #1 by Houston Texans,0.000,-3.020
3,7:37,4,1,GNB 6,6,7,"Brock Osweiler pass complete short right to Ryan Griffin for 6 yards, touchdown",3.020,7.000
3,7:32,,,GNB 15,7,7,Nick Novak kicks extra point good,0.000,0.000
3,7:32,,,HOU 35,7,7,"Nick Novak kicks off 60 yards, returned by Ty Montgomery for 39 yards (tackle by Robert Nelson)",0.000,-1.860
3,7:24,1,10,GNB 44,7,7,Aaron Rodgers pass incomplete deep left intended for Davante Adams,1.860,1.320
3,7:17,2,10,GNB 44,7,7,Christine Michael left guard for 1 yard (tackle by Ufomba Kamalu and Brian Cushing),1.320,0.760
3,6:33,3,9,GNB 45,7,7,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by A.J. Bouye),0.760,0.000
3,6:16,,,,7,7,Timeout #2 by Houston Texans,0.000,-0.070
3,6:16,4,2,HOU 48,7,7,Aaron Ripkowski left guard for 1 yard (tackle by Vince Wilfork),0.070,-2.060
3,6:09,1,10,HOU 47,7,7,Lamar Miller right tackle for 2 yards (tackle by Julius Peppers),2.060,1.790
3,5:25,2,8,HOU 49,7,7,Lamar Miller middle for -4 yards (tackle by Mike Pennel),1.790,0.560
3,4:44,3,12,HOU 45,7,7,Jonathan Grimes middle for 14 yards (tackle by Ha Ha Clinton-Dix and Micah Hyde),0.560,2.850
3,4:05,1,10,GNB 41,7,7,Lamar Miller right tackle for 5 yards (tackle by Letroy Guion),2.850,2.980
3,3:20,2,5,GNB 36,7,7,Brock Osweiler pass incomplete short middle intended for DeAndre Hopkins,2.980,2.280
3,3:15,3,5,GNB 36,7,7,Brock Osweiler pass incomplete deep left intended for DeAndre Hopkins,2.280,0.880
3,3:10,4,5,GNB 36,7,7,Shane Lechler punts 34 yards,0.880,0.380
3,3:02,1,10,GNB 2,7,7,Aaron Rodgers pass incomplete deep left intended for Davante Adams,-0.380,-0.780
3,2:55,2,10,GNB 2,7,7,Aaron Rodgers pass complete short right to Richard Rodgers for 9 yards (tackle by Johnathan Joseph),-0.780,-0.370
3,2:13,3,1,GNB 11,7,7,Ty Montgomery right end for 13 yards (tackle by Johnathan Joseph),-0.370,0.540
3,1:51,1,10,GNB 24,7,7,"Aaron Rodgers pass complete short middle to Richard Rodgers for 7 yards (tackle by Benardrick McKinney). Penalty on Davante Adams: Illegal Block Above the Waist, 10 yards",0.540,0.340
3,1:10,1,13,GNB 21,7,7,Aaron Rodgers for 5 yards (tackle by Christian Covington),0.340,0.270
3,0:33,2,8,GNB 26,7,7,Aaron Rodgers pass incomplete deep right intended for Davante Adams,0.270,-0.430
3,0:23,3,8,GNB 26,7,7,Aaron Rodgers pass complete short left to Jared Cook for 10 yards (tackle by Eddie Pleasant),-0.430,1.330
Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 36,7,7,Aaron Rodgers pass complete deep right to Davante Adams for 17 yards (tackle by Kareem Jackson),1.330,2.460
4,14:15,1,10,HOU 47,7,7,Ty Montgomery middle for 4 yards (tackle by Whitney Mercilus),2.460,2.450
4,13:39,2,6,HOU 43,7,7,Aaron Rodgers right end for 11 yards (tackle by Charles James),2.450,3.450
4,12:54,1,10,HOU 32,7,7,Aaron Rodgers pass incomplete deep right intended for Davante Adams,3.450,2.900
4,12:50,2,10,HOU 32,7,13,"Aaron Rodgers pass complete deep left to Jordy Nelson for 32 yards, touchdown",2.900,7.000
4,12:42,,,HOU 15,7,14,Mason Crosby kicks extra point good,0.000,0.000
4,12:42,,,GNB 35,7,14,"Mason Crosby kicks off 65 yards, returned by Akeem Hunt for 15 yards (tackle by Jayrone Elliott)",0.000,0.220
4,12:37,1,10,HOU 15,7,14,Brock Osweiler pass complete short left to Will Fuller for 3 yards (tackle by Quinten Rollins),-0.220,-0.280
4,12:00,2,7,HOU 18,7,14,Alfred Blue right tackle for 10 yards (tackle by Morgan Burnett),-0.280,0.810
4,11:20,1,10,HOU 28,7,14,Brock Osweiler pass incomplete deep left intended for Will Fuller (defended by Ladarius Gunter),0.810,0.260
4,11:14,2,10,HOU 28,7,14,Alfred Blue right end for 25 yards (tackle by Ha Ha Clinton-Dix),0.260,2.460
4,10:39,1,10,GNB 47,7,14,Brock Osweiler pass complete short right to Alfred Blue for -9 yards (tackle by Letroy Guion),2.460,0.700
4,9:51,2,19,HOU 44,7,14,Brock Osweiler pass complete short right to Alfred Blue for 12 yards (tackle by Damarious Randall),0.700,1.620
4,9:04,3,7,GNB 44,7,14,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz (defended by Micah Hyde),1.620,0.330
4,8:59,4,7,GNB 44,7,14,"Shane Lechler punts 33 yards, fair catch by Randall Cobb",0.330,0.370
4,8:52,1,10,GNB 11,7,14,Ty Montgomery right tackle for 3 yards (tackle by Antonio Smith),-0.370,-0.530
4,8:16,2,7,GNB 14,7,14,Aaron Rodgers pass complete deep right to Jordy Nelson for 21 yards (tackle by Corey Moore),-0.530,1.270
4,7:29,1,10,GNB 35,7,14,Ty Montgomery left end for 11 yards (tackle by Eddie Pleasant),1.270,1.990
4,6:42,1,10,GNB 46,7,14,Aaron Rodgers pass incomplete deep left intended for Jared Cook,1.990,0.000
4,6:37,,,,7,14,Timeout #1 by Green Bay Packers,0.000,-1.450
4,6:37,2,10,GNB 46,7,14,Ty Montgomery right end for 4 yards (tackle by Robert Nelson),1.450,1.290
4,5:54,3,6,,7,14,Aaron Rodgers pass complete deep left to Jordy Nelson for 28 yards (tackle by Kareem Jackson),1.290,4.110
4,5:06,1,10,HOU 22,7,14,Jeff Janis left end for 19 yards (tackle by Kareem Jackson),4.110,6.510
4,4:18,1,3,HOU 3,7,20,"Aaron Ripkowski middle for 3 yards, touchdown",6.510,7.000
4,4:11,,,HOU 15,7,21,Mason Crosby kicks extra point good,0.000,0.000
4,4:11,,,GNB 35,7,21,"Mason Crosby kicks off 65 yards, returned by Akeem Hunt for 22 yards (tackle by Aaron Ripkowski)",0.000,-0.410
4,4:04,1,10,HOU 22,7,21,Brock Osweiler pass complete short left to Will Fuller for 6 yards (tackle by Ha Ha Clinton-Dix),0.410,0.680
4,3:35,2,4,HOU 28,7,21,Brock Osweiler pass incomplete deep middle intended for Ryan Griffin (defended by Joe Thomas),0.680,-0.030
4,3:30,3,4,HOU 28,7,21,Brock Osweiler pass complete short middle to Ryan Griffin for 5 yards (tackle by Micah Hyde),-0.030,1.140
4,3:02,1,10,HOU 33,7,21,Brock Osweiler pass complete short middle to Jonathan Grimes for 15 yards (tackle by Joe Thomas),1.140,2.130
4,2:28,1,10,HOU 48,7,21,"Brock Osweiler pass complete short middle to Ryan Griffin for 11 yards (tackle by Morgan Burnett). Penalty on Ryan Griffin: Offensive Pass Interference, 10 yards (no play)",2.130,1.470
4,2:16,1,20,HOU 38,7,21,Brock Osweiler pass complete short right to Ryan Griffin for 18 yards (tackle by Quinten Rollins),1.470,2.660
4,2:00,2,2,GNB 44,13,21,"Brock Osweiler pass complete deep right to DeAndre Hopkins for 44 yards, touchdown",2.660,7.000
4,1:51,,,GNB 15,13,21,Nick Novak kicks extra point no good,0.000,-1.000
4,1:51,,,HOU 35,13,21,"Nick Novak kicks onside 13 yards, recovered by Davante Adams",0.000,-2.390
4,1:50,1,10,HOU 48,13,21,Christine Michael left guard for 1 yard (tackle by Brian Cushing),2.390,0.000
4,1:44,,,,13,21,Timeout #3 by Houston Texans,0.000,-1.980
4,1:44,2,9,HOU 47,13,21,Christine Michael middle for 1 yard (tackle by Antonio Smith),1.980,0.000
4,0:58,,,,13,21,Timeout #2 by Green Bay Packers,0.000,-1.420
4,0:58,3,8,HOU 46,13,21,Christine Michael left end for -2 yards (tackle by D.J. Reader),1.420,0.000
4,0:12,,,,13,21,Timeout #3 by Green Bay Packers,0.000,-0.070
4,0:12,4,10,HOU 48,13,21,"Jake Schum punts 36 yards, out of bounds",0.070,0.350
4,0:04,1,10,HOU 12,13,21,--,-0.350,-0.610
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
