Quarter,Time,Tm,Detail,HOU,GNB
2.0,8:02,Packers,Randall Cobb 9 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
3.0,7:32,Texans,Ryan Griffin 6 yard pass from Brock Osweiler (Nick Novak kick),7,7
4.0,12:42,Packers,Jordy Nelson 32 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,4:11,Packers,Aaron Ripkowski 3 yard rush (Mason Crosby kick),7,21
,1:51,Texans,DeAndre Hopkins 44 yard pass from Brock Osweiler (Nick Novak kick failed),13,21
