Quarter,Time,Tm,Detail,MIA,HOU
1.0,3:12,Dolphins,Dan Carpenter 39 yard field goal,3,0
2.0,6:12,Texans,Shayne Graham 35 yard field goal,3,3
,1:53,Texans,Arian Foster 14 yard rush (Shayne Graham kick),3,10
,0:43,Texans,Arian Foster 2 yard rush (Shayne Graham kick),3,17
,0:07,Texans,Andre Johnson 14 yard pass from Matt Schaub (Shayne Graham kick),3,24
3.0,13:12,Dolphins,Marcus Thigpen 72 yard punt return (Dan Carpenter kick),10,24
,6:30,Texans,Shayne Graham 40 yard field goal,10,27
4.0,12:22,Texans,Shayne Graham 19 yard field goal,10,30
