Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off no gain, returned by Joe Reed for 14 yards (tackle by Siran Neal). Penalty on Tyler Matakevich: Illegal Formation, 5 yards (no play)",0.000,0.000
1,14:53,,,BUF 30,0,0,"Tyler Bass kicks off 70 yards, touchback.",0.000,0.610
1,14:53,1,10,LAC 25,0,0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Tremaine Edmunds),0.610,0.060
1,14:49,2,10,LAC 25,0,0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Tre'Davious White),0.060,-0.620
1,14:44,3,10,LAC 25,0,0,Justin Herbert pass incomplete short middle intended for Hunter Henry (defended by A.J. Klein),-0.620,-1.700
1,14:39,4,10,LAC 25,0,0,"Ty Long punts 56 yards, returned by Andre Roberts for 18 yards (tackle by Jahleel Addae and Cole Mazza)",-1.700,-1.400
1,14:25,1,10,BUF 37,0,0,Josh Allen pass complete short left to Devin Singletary for 5 yards (tackle by Rayshawn Jenkins),1.400,1.530
1,13:48,2,5,BUF 42,0,0,Josh Allen left end for 6 yards (tackle by Rayshawn Jenkins),1.530,2.130
1,13:15,1,10,BUF 48,0,0,"Josh Allen pass incomplete deep left intended for Stefon Diggs (defended by Rayshawn Jenkins). Penalty on Rayshawn Jenkins: Defensive Pass Interference, 47 yards (no play)",2.130,6.060
1,13:07,1,5,LAC 5,0,0,Zack Moss left tackle for 3 yards (tackle by Joey Bosa and Michael Davis),6.060,5.720
1,12:31,2,2,LAC 2,0,6,"Josh Allen pass complete short middle to Dawson Knox for 2 yards, touchdown",5.720,7.000
1,12:26,,,LAC 15,0,7,Tyler Bass kicks extra point good,0.000,0.000
1,12:26,,,BUF 35,0,7,"Tyler Bass kicks off 54 yards, returned by Joe Reed for 10 yards (tackle by Dean Marlowe and Taiwan Jones)",0.000,0.340
1,12:19,1,10,LAC 21,0,7,Austin Ekeler left tackle for 5 yards (tackle by Tremaine Edmunds),0.340,0.480
1,11:44,2,5,LAC 26,0,7,"Justin Herbert for -128 yards. Justin Herbert fumbles, recovered by Justin Herbert at LAC-24 Justin Herbert pass complete short left to Tyron Johnson for 8 yards (tackle by A.J. Klein)",0.480,1.200
1,11:16,1,10,LAC 34,0,7,Justin Herbert pass complete short middle to Keenan Allen for 11 yards (tackle by Tre'Davious White),1.200,1.930
1,10:39,1,10,LAC 45,0,7,Austin Ekeler right end for 3 yards (tackle by A.J. Klein and Justin Zimmer),1.930,1.790
1,9:56,2,7,LAC 48,0,7,Austin Ekeler up the middle for 15 yards (tackle by A.J. Klein and Levi Wallace),1.790,3.120
1,9:31,1,10,BUF 37,0,7,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Taron Johnson and Tremaine Edmunds),3.120,3.790
1,8:51,2,1,BUF 28,0,7,Joshua Kelley up the middle for 6 yards (tackle by Jordan Poyer),3.790,4.110
1,8:19,1,10,BUF 22,0,7,Justin Herbert pass incomplete short left,4.110,3.560
1,8:15,2,10,BUF 22,0,7,Justin Herbert pass incomplete short middle intended for Hunter Henry (defended by Taron Johnson),3.560,2.870
1,8:08,3,10,BUF 22,0,7,Justin Herbert pass complete short left to Austin Ekeler for 14 yards (tackle by A.J. Klein),2.870,5.370
1,7:48,1,8,BUF 8,0,7,Justin Herbert right guard for -2 yards (tackle by Jerry Hughes),5.370,4.190
1,7:11,2,10,BUF 10,0,7,Justin Herbert pass complete short left to Hunter Henry for 5 yards (tackle by A.J. Klein),4.190,4.260
1,6:35,3,5,BUF 5,6,7,"Justin Herbert pass complete short left to Keenan Allen for 5 yards, touchdown",4.260,7.000
1,6:31,,,BUF 15,6,7,Michael Badgley kicks extra point no good wide left,0.000,-1.000
1,6:31,,,LAC 35,6,7,"Ty Long kicks off 55 yards, returned by Andre Roberts for 20 yards (tackle by B.J. Bello)",0.000,0.940
1,6:25,1,10,BUF 30,6,7,Josh Allen pass complete short right to Lee Smith for 3 yards (tackle by Denzel Perryman),0.940,0.800
1,5:43,2,7,BUF 33,6,7,Devin Singletary left tackle for 6 yards (tackle by Linval Joseph),0.800,0.890
1,5:02,3,1,BUF 39,6,7,Josh Allen left tackle for -4 yards (tackle by Joey Bosa),0.890,-1.040
1,4:22,4,5,BUF 35,6,7,"Corey Bojorquez punts 65 yards, touchback.",-1.040,-0.280
1,4:13,1,10,LAC 20,6,7,Justin Herbert pass complete short middle to Troymaine Pope for 2 yards (tackle by A.J. Klein),0.280,0.000
1,3:42,2,8,LAC 22,6,7,Justin Herbert pass incomplete short middle intended for Keenan Allen,0.000,-0.690
1,3:38,3,8,LAC 22,6,7,Justin Herbert pass incomplete short middle intended for Keenan Allen,-0.690,-1.900
1,3:33,4,8,LAC 22,6,7,Ty Long punts 40 yards out of bounds,-1.900,-1.470
1,3:25,1,10,BUF 38,6,7,Josh Allen sacked by Joey Bosa for -3 yards,1.470,0.520
1,2:48,2,13,BUF 35,6,7,Zack Moss right guard for 4 yards (tackle by Denzel Perryman and Justin Jones),0.520,0.370
1,2:03,3,9,BUF 39,6,7,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Rayshawn Jenkins). Penalty on Dion Dawkins: Offensive Holding (Offsetting) . Penalty on Taiwan Jones: Defensive Holding (Offsetting) (no play),0.370,0.370
1,1:35,3,9,BUF 39,6,7,Josh Allen pass incomplete short middle intended for Cole Beasley,0.370,-0.780
1,1:29,4,9,BUF 39,6,7,Corey Bojorquez punts 46 yards out of bounds,-0.780,0.220
1,1:21,1,10,LAC 15,6,7,Austin Ekeler up the middle for no gain (tackle by A.J. Epenesa and Tremaine Edmunds),-0.220,-0.710
1,0:57,2,10,LAC 15,6,7,Justin Herbert pass incomplete short left intended for Donald Parham,-0.710,-1.370
1,0:54,3,10,LAC 15,6,7,Justin Herbert pass complete short right to Jalen Guyton for 12 yards (tackle by Tre'Davious White),-1.370,0.740
1,0:28,1,10,LAC 27,6,7,Joshua Kelley left tackle for 1 yard (tackle by Justin Zimmer),0.740,0.330
Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAC 28,6,7,Justin Herbert pass complete short right to Austin Ekeler for 7 yards (tackle by A.J. Klein and Taron Johnson),0.330,0.560
2,14:21,3,2,LAC 35,6,7,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.560,-1.040
2,14:18,4,2,LAC 35,6,7,"Ty Long punts 45 yards, returned by Andre Roberts for 4 yards (tackle by Brandon Facyson)",-1.040,-0.540
2,14:05,1,10,BUF 24,6,7,Devin Singletary right tackle for no gain (tackle by Rayshawn Jenkins),0.540,0.000
2,13:31,2,10,BUF 24,6,7,Devin Singletary left tackle for 2 yards (tackle by Damion Square),0.000,-0.430
2,12:51,3,8,BUF 26,6,7,Josh Allen pass complete short right to Devin Singletary for 14 yards (tackle by Denzel Perryman and Nasir Adderley),-0.430,1.600
2,12:10,1,10,BUF 40,6,7,"Josh Allen pass incomplete short right intended for Dawson Knox (defended by Michael Davis). Penalty on Jerry Tillery: Roughing the Passer, 15 yards (no play)",1.600,2.590
2,12:04,1,10,LAC 45,6,7,Josh Allen pass complete short left to Zack Moss for 2 yards (tackle by Rayshawn Jenkins),2.590,2.310
2,11:20,2,8,LAC 43,6,7,Devin Singletary left end for 21 yards (tackle by Rayshawn Jenkins),2.310,4.110
2,10:33,1,10,LAC 22,6,7,Josh Allen left tackle for 2 yards (tackle by Joey Bosa),4.110,3.830
2,9:50,2,8,LAC 20,6,13,"Cole Beasley pass complete deep right to Gabriel Davis for 20 yards, touchdown",3.830,7.000
2,9:44,,,LAC 15,6,14,Tyler Bass kicks extra point good,0.000,0.000
2,9:44,,,BUF 35,6,14,"Tyler Bass kicks off 57 yards, returned by Joe Reed for 23 yards (tackle by Jordan Poyer and Dean Marlowe)",0.000,1.000
2,9:36,1,10,LAC 31,6,14,Austin Ekeler left end for 2 yards (tackle by Micah Hyde and A.J. Klein),1.000,0.730
2,9:01,2,8,LAC 33,6,14,Justin Herbert pass complete short middle to Hunter Henry for 11 yards (tackle by Levi Wallace),0.730,1.860
2,8:24,1,10,LAC 44,6,14,Troymaine Pope left tackle for -1 yards (tackle by A.J. Epenesa),1.860,1.180
2,7:48,2,11,LAC 43,6,14,Justin Herbert pass incomplete short middle intended for Keenan Allen,1.180,0.500
2,7:44,3,11,LAC 43,6,14,Justin Herbert pass incomplete short middle intended for Tyron Johnson,0.500,-0.520
2,7:39,4,11,LAC 43,6,14,"Ty Long punts 43 yards, fair catch by Andre Roberts at BUF-14",-0.520,0.280
2,7:31,1,10,BUF 14,6,14,Zack Moss right guard for 3 yards (tackle by Rayshawn Jenkins and Denzel Perryman),-0.280,-0.370
2,6:48,2,7,BUF 17,6,14,Josh Allen pass complete short left to Gabriel Davis for 15 yards (tackle by Tevaughn Campbell),-0.370,1.070
2,6:11,1,10,BUF 32,6,14,Josh Allen pass incomplete short middle (defended by Joey Bosa),1.070,0.530
2,6:07,2,10,BUF 32,6,14,"Josh Allen pass complete short middle to Cole Beasley for 14 yards (tackle by Nasir Adderley). Penalty on Denzel Perryman: Unnecessary Roughness, 15 yards",0.530,2.980
2,5:50,1,10,LAC 39,6,14,Josh Allen pass incomplete short right intended for Cole Beasley,2.980,2.440
2,5:47,2,10,LAC 39,6,14,Josh Allen pass complete short right to Zack Moss for 7 yards (tackle by Kenneth Murray),2.440,2.680
2,5:12,3,3,LAC 32,6,14,Zack Moss right tackle for 6 yards (tackle by Nick Vigil),2.680,3.840
2,4:33,1,10,LAC 26,6,14,Josh Allen up the middle for 11 yards (tackle by Chris Harris),3.840,4.580
2,3:55,1,10,LAC 15,6,14,Josh Allen pass incomplete short right intended for Gabriel Davis. Penalty on Daryl Williams: Ineligible Downfield Pass (Declined),4.580,3.950
2,3:49,2,10,LAC 15,6,14,Matt Barkley sacked by Joey Bosa for -7 yards,3.950,2.410
2,3:03,,,,,,Timeout #1 by Buffalo Bills,,
2,3:03,3,17,LAC 22,6,14,"Penalty on Jon Feliciano: False Start, 5 yards (no play)",2.410,1.750
2,3:03,3,22,LAC 27,6,14,Josh Allen pass complete short left to Devin Singletary for 1 yard (tackle by Rayshawn Jenkins),1.750,1.740
2,2:21,4,21,LAC 26,6,17,Tyler Bass 45 yard field goal good,1.740,3.000
2,2:16,,,BUF 35,6,17,"Tyler Bass kicks off 62 yards, returned by Joe Reed for 16 yards (tackle by Jaquan Johnson and Tyler Matakevich)",0.000,0.150
2,2:10,1,10,LAC 19,6,17,Justin Herbert pass complete short middle to Austin Ekeler for 4 yards (tackle by A.J. Klein),0.150,0.210
2,2:00,2,6,LAC 23,6,17,Justin Herbert pass complete short middle to Austin Ekeler for 11 yards (tackle by Jerry Hughes and Tre'Davious White),0.210,1.200
2,1:34,1,10,LAC 34,6,17,Justin Herbert pass incomplete deep right intended for Mike Williams,1.200,0.660
2,1:29,2,10,LAC 34,6,17,Justin Herbert pass complete short right to Jalen Guyton for 10 yards (tackle by Tre'Davious White and Levi Wallace),0.660,1.860
2,1:08,1,10,LAC 44,6,17,Justin Herbert sacked by and A.J. Klein for -8 yards and Jerry Hughes for -8 yards,1.860,0.240
2,1:01,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:01,2,18,LAC 36,6,17,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by Jordan Poyer and Tremaine Edmunds),0.240,0.760
2,0:44,3,9,LAC 45,6,17,Justin Herbert pass complete short middle to Austin Ekeler for 7 yards (tackle by Taron Johnson),0.760,0.070
2,0:21,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:21,4,2,BUF 48,6,17,"Ty Long punts 48 yards, touchback.",0.070,-0.280
2,0:12,1,10,BUF 20,6,17,Josh Allen kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
