Unnamed: 0,LAC,BUF
First Downs,24,23
Rush-Yds-TDs,24-76-1,30-172-1
Cmp-Att-Yd-TD-INT,31-52-316-1-1,19-25-177-2-1
Sacked-Yards,3-25,3-17
Net Pass Yards,291,160
Total Yards,367,332
Fumbles-Lost,2-0,2-2
Turnovers,1,3
Penalties-Yards,5-91,9-85
Third Down Conv.,3-16,4-9
Fourth Down Conv.,4-5,0-0
Time of Possession,30:04,29:56
