Quarter,Time,Tm,Detail,LAC,BUF
1.0,12:26,Bills,Dawson Knox 2 yard pass from Josh Allen (Tyler Bass kick),0,7
,6:31,Chargers,Keenan Allen 5 yard pass from Justin Herbert (Michael Badgley kick failed),6,7
2.0,9:44,Bills,Gabriel Davis 20 yard pass from Cole Beasley (Tyler Bass kick),6,14
,2:16,Bills,Tyler Bass 45 yard field goal,6,17
3.0,9:02,Bills,Josh Allen 3 yard rush (Tyler Bass kick),6,24
,4:51,Chargers,Joshua Kelley 1 yard rush (Keenan Allen pass from Justin Herbert),14,24
4.0,10:16,Chargers,Michael Badgley 27 yard field goal,17,24
,3:26,Bills,Tyler Bass 43 yard field goal,17,27
