Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Dion Lewis right guard for 9 yards (tackle by Morris Claiborne),0.610,1.280
1,14:34,2,1,NWE 34,0,0,Dion Lewis middle for 4 yards (tackle by Demario Davis),1.280,1.470
1,14:08,1,10,NWE 38,0,0,Tom Brady pass incomplete short left intended for James Develin,1.470,0.920
1,14:05,2,10,NWE 38,0,0,Tom Brady pass complete short left to Danny Amendola for 16 yards (tackle by Juston Burris),0.920,2.520
1,13:52,1,10,NYJ 46,0,0,Dion Lewis right tackle for 8 yards (tackle by Jordan Jenkins),2.520,3.060
1,13:28,2,2,NYJ 38,0,0,Tom Brady pass complete short middle to Danny Amendola for 9 yards (tackle by Josh Martin),3.060,3.640
1,13:05,1,10,NYJ 29,0,0,Dion Lewis left guard for -3 yards (tackle by Josh Martin),3.640,2.700
1,12:31,2,13,NYJ 32,0,0,Tom Brady pass complete short right to Dion Lewis for no gain,2.700,2.020
1,11:56,3,13,NYJ 32,0,0,Tom Brady pass complete short right to Danny Amendola for 11 yards (tackle by Jamal Adams and Marcus Maye),2.020,2.180
1,11:13,4,2,NYJ 21,0,0,Tom Brady pass complete short middle to Danny Amendola for 7 yards (tackle by Juston Burris),2.180,4.650
1,10:39,1,10,NYJ 14,0,0,Tom Brady pass complete short left to Brandin Cooks for 7 yards (tackle by Buster Skrine),4.650,5.280
1,10:09,2,3,NYJ 7,0,0,Dion Lewis left tackle for 4 yards (tackle by Juston Burris),5.280,6.510
1,9:35,1,3,NYJ 3,0,6,"Dion Lewis left end for 3 yards, touchdown",6.510,7.000
1,9:30,,,NYJ 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,9:30,,,NWE 35,0,7,"Stephen Gostkowski kicks off 54 yards, returned by Jojo Natson for 2 yards (tackle by Jonathan Jones)",0.000,0.320
1,9:27,1,10,NYJ 13,0,7,"Penalty on Dakota Dozier: False Start, 5 yards (no play)",-0.320,-0.570
1,9:27,1,15,NYJ 8,0,7,Bilal Powell left tackle for 1 yard (tackle by Lawrence Guy),-0.570,-1.070
1,8:49,2,14,NYJ 9,0,7,Bilal Powell left guard for no gain (tackle by Trey Flowers),-1.070,-1.890
1,8:13,3,14,NYJ 9,0,7,Bilal Powell left end for 9 yards (tackle by Devin McCourty),-1.890,-2.240
1,7:49,4,5,NYJ 18,0,7,"Lac Edwards punts 54 yards, returned by Danny Amendola for 6 yards (tackle by Thomas Hennessy)",-2.240,-1.200
1,7:39,1,10,NWE 34,0,7,Tom Brady pass complete short left to Brandin Cooks for 9 yards (tackle by Morris Claiborne),1.200,1.870
1,7:10,2,1,NWE 43,0,7,Dion Lewis middle for 2 yards (tackle by Jamal Adams and Morris Claiborne),1.870,1.930
1,6:40,1,10,NWE 45,0,7,Dion Lewis middle for 3 yards (tackle by Jamal Adams and Steve McLendon),1.930,1.790
1,5:59,2,7,NWE 48,0,7,"Tom Brady pass incomplete deep right intended for Brandin Cooks. Penalty on Buster Skrine: Defensive Holding, 5 yards (no play)",1.790,2.460
1,5:53,1,10,NYJ 47,0,7,Tom Brady pass incomplete deep middle intended for Brandin Cooks,2.460,1.910
1,5:45,2,10,NYJ 47,0,7,Tom Brady pass incomplete short left intended for Brandin Cooks,1.910,1.220
1,5:40,3,10,NYJ 47,0,7,Tom Brady sacked by David Bass for -6 yards,1.220,-0.260
1,4:59,4,16,NWE 47,0,7,"Ryan Allen punts 35 yards, fair catch by Jojo Natson",-0.260,-0.040
1,4:52,1,10,NYJ 18,0,7,Bryce Petty pass complete short middle to Jermaine Kearse for 22 yards (tackle by Patrick Chung),0.040,1.600
1,4:16,1,10,NYJ 40,0,7,Bilal Powell left end for 24 yards (tackle by Devin McCourty),1.600,3.180
1,3:37,1,10,NWE 36,0,7,Bryce Petty pass complete short right to Neal Sterling for 15 yards (tackle by Malcolm Butler),3.180,4.170
1,3:12,1,10,NWE 21,0,7,Elijah McGuire left end for -8 yards (tackle by Lawrence Guy),4.170,2.550
1,2:33,2,18,NWE 29,0,7,Elijah McGuire left end for -1 yards (tackle by Elandon Roberts and James Harrison),2.550,1.750
1,1:52,3,19,NWE 30,0,7,Bryce Petty pass incomplete short right intended for Elijah McGuire,1.750,1.410
1,1:47,4,19,NWE 30,3,7,Chandler Catanzaro 48 yard field goal good,1.410,3.000
1,1:42,,,NYJ 35,3,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,1:42,1,10,NWE 25,3,7,Tom Brady pass complete short left to Dion Lewis for 10 yards (tackle by Buster Skrine and Steve McLendon),0.610,1.270
1,1:08,1,10,NWE 35,3,7,Dion Lewis right guard for -2 yards (tackle by Demario Davis),1.270,0.450
1,0:34,2,12,NWE 33,3,7,Tom Brady pass incomplete short right intended for Brandon Bolden,0.450,-0.230
1,0:30,3,12,NWE 33,3,7,Tom Brady pass incomplete short left intended for Danny Amendola,-0.230,-1.180
1,0:26,4,12,NWE 33,3,7,"Ryan Allen punts 52 yards, returned by Jojo Natson for -1 yards (tackle by Jonathan Jones)",-1.180,0.280
1,0:16,1,10,NYJ 14,3,7,Elijah McGuire left end for no gain (tackle by Marquis Flowers),-0.280,-0.750
Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,NYJ 14,3,7,"Bryce Petty pass complete deep middle to Neal Sterling for 35 yards (tackle by Devin McCourty). Penalty on Malcom Brown: Roughing the Passer, 15 yards",-0.750,3.180
2,14:32,1,10,NWE 36,3,7,Bilal Powell right tackle for 1 yard (tackle by Marquis Flowers),3.180,2.770
2,13:54,2,9,NWE 35,3,7,Bryce Petty pass complete short middle to Elijah McGuire for 11 yards (tackle by Patrick Chung),2.770,3.970
2,13:21,1,10,NWE 24,3,7,Bilal Powell right end for 2 yards (tackle by Lawrence Guy),3.970,3.700
2,12:38,2,8,NWE 22,3,7,Bryce Petty pass incomplete short middle intended for Jojo Natson,3.700,3.010
2,12:35,3,8,NWE 22,3,7,Bryce Petty pass incomplete deep right intended for Elijah McGuire,3.010,1.990
2,12:33,4,8,NWE 22,3,7,Chandler Catanzaro 40 yard field goal no good,1.990,-0.940
2,12:29,1,10,NWE 30,3,7,Dion Lewis middle for 3 yards (tackle by Buster Skrine),0.940,0.800
2,12:01,2,7,NWE 33,3,7,Tom Brady pass incomplete short right intended for Kenny Britt,0.800,0.100
2,11:55,3,7,NWE 33,3,7,Tom Brady sacked by Xavier Cooper for -6 yards,0.100,-1.570
2,11:01,4,13,NWE 27,3,7,"Ryan Allen punts 46 yards, fair catch by Jojo Natson",-1.570,-0.740
2,10:54,1,10,NYJ 27,3,7,Bilal Powell right tackle for -1 yards (tackle by Malcom Brown and Lawrence Guy),0.740,0.060
2,10:19,2,11,NYJ 26,3,7,Bryce Petty pass complete short left to Jermaine Kearse for 14 yards (tackle by Devin McCourty),0.060,1.600
2,9:41,1,10,NYJ 40,3,7,Bryce Petty pass incomplete short right intended for Bilal Powell,1.600,1.050
2,9:37,2,10,NYJ 40,3,7,Bilal Powell right end for no gain (tackle by Devin McCourty),1.050,0.000
2,8:52,,,,,,Timeout #1 by New York Jets,0.000,-0.370
2,8:52,3,10,NYJ 40,3,7,Bryce Petty pass incomplete short left intended for Elijah McGuire,0.370,-0.720
2,8:47,4,10,NYJ 40,3,7,"Lac Edwards punts 48 yards, returned by Danny Amendola for 15 yards (tackle by Rontez Miles)",-0.720,-0.740
2,8:37,1,10,NWE 27,3,7,Tom Brady pass incomplete deep left intended for Phillip Dorsett,0.740,0.200
2,8:30,2,10,NWE 27,3,7,Tom Brady pass incomplete short right intended for Danny Amendola,0.200,-0.490
2,8:24,3,10,NWE 27,3,7,"Tom Brady pass incomplete deep middle intended for Brandin Cooks (defended by Morris Claiborne). Penalty on Juston Burris: Defensive Holding, 5 yards (no play)",-0.490,1.070
2,8:18,1,10,NWE 32,3,7,Dion Lewis left tackle for 3 yards (tackle by Mike Pennel),1.070,0.930
2,7:44,2,7,NWE 35,3,7,Dion Lewis left end for 6 yards (tackle by Obum Gwacham and Darron Lee),0.930,1.030
2,7:21,3,1,NWE 41,3,7,Dion Lewis left guard for 1 yard (tackle by Xavier Cooper),1.030,1.730
2,6:47,1,10,NWE 42,3,7,Dion Lewis left guard for 2 yards (tackle by Obum Gwacham and Demario Davis),1.730,1.460
2,6:13,2,8,NWE 44,3,7,"Tom Brady pass incomplete deep left intended for Brandin Cooks. Penalty on Marcus Maye: Defensive Pass Interference, 39 yards (no play)",1.460,4.440
2,6:04,1,10,NYJ 17,3,7,Dion Lewis middle for 2 yards (tackle by Mike Pennel),4.440,4.150
2,5:30,2,8,NYJ 15,3,7,Tom Brady pass complete short left to Dion Lewis for 8 yards (tackle by Morris Claiborne),4.150,5.600
2,5:00,1,7,NYJ 7,3,7,Dion Lewis left guard for 2 yards (tackle by Rontez Miles),5.600,5.150
2,4:20,2,5,NYJ 5,3,13,"Tom Brady pass complete short middle to Brandin Cooks for 5 yards, touchdown",5.150,7.000
2,4:14,,,NYJ 15,3,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,4:14,,,NWE 35,3,14,"Stephen Gostkowski kicks off 60 yards, returned by Jojo Natson for 23 yards (tackle by Nic Grigsby)",0.000,-0.810
2,4:09,1,10,NYJ 28,3,14,Robby Anderson right end for 1 yard (tackle by Malcolm Butler),0.810,0.400
