Quarter,Time,Tm,Detail,NYJ,NWE
1.0,9:30,Patriots,Dion Lewis 3 yard rush (Stephen Gostkowski kick),0,7
,1:42,Jets,Chandler Catanzaro 48 yard field goal,3,7
2.0,4:14,Patriots,Brandin Cooks 5 yard pass from Tom Brady (Stephen Gostkowski kick),3,14
,0:20,Patriots,Dion Lewis 5 yard pass from Tom Brady (Stephen Gostkowski kick),3,21
3.0,1:29,Patriots,Stephen Gostkowski 21 yard field goal,3,24
4.0,10:28,Jets,Chandler Catanzaro 35 yard field goal,6,24
,6:04,Patriots,"Safety, Bryce Petty sacked in end zone by Eric Lee",6,26
