Unnamed: 0,NOR,DAL
First Downs,14,21
Rush-Yds-TDs,19-65-0,31-99-0
Cmp-Att-Yd-TD-INT,18-28-127-1-1,24-28-249-1-0
Sacked-Yards,2-16,7-40
Net Pass Yards,111,209
Total Yards,176,308
Fumbles-Lost,3-0,3-2
Turnovers,1,2
Penalties-Yards,5-48,8-80
Third Down Conv.,3-11,7-14
Fourth Down Conv.,0-1,0-0
Time of Possession,23:07,36:53
