Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,T.J. Yeldon left guard for 3 yards (tackle by Leighton Vander Esch),0.610,0.470
1,14:26,2,7,JAX 28,0,0,Blake Bortles right end for 4 yards (tackle by Jaylon Smith),0.470,0.300
1,13:46,3,3,JAX 32,0,0,Blake Bortles pass complete short left to Dede Westbrook for 1 yard (tackle by Jourdan Lewis),0.300,-1.180
1,13:06,4,2,JAX 33,0,0,"Logan Cooke punts 53 yards, returned by Tavon Austin for 3 yards (tackle by James O'Shaughnessy)",-1.180,0.060
1,12:55,1,10,DAL 17,0,0,Dak Prescott pass complete short left to Geoff Swaim for 11 yards (tackle by Barry Church),-0.060,0.810
1,12:23,1,10,DAL 28,0,0,Ezekiel Elliott left tackle for 1 yard (tackle by Malik Jackson),0.810,0.400
1,11:51,2,9,DAL 29,0,0,Dak Prescott pass incomplete short left intended for Allen Hurns (defended by Tyler Patmon),0.400,-0.300
1,11:47,3,9,DAL 29,0,0,Dak Prescott pass complete deep left to Michael Gallup for 27 yards (tackle by A.J. Bouye),-0.300,2.650
1,11:14,1,10,JAX 44,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for 11 yards (tackle by Telvin Smith),2.650,3.380
1,10:35,1,10,JAX 33,0,0,Dak Prescott pass complete short left to Deonte Thompson for 1 yard (tackle by Jalen Ramsey),3.380,2.970
1,10:03,2,9,JAX 32,0,0,"Dak Prescott up the middle for 1 yard. Dak Prescott fumbles, recovered by Dak Prescott at JAC-36",2.970,2.410
1,9:19,3,8,JAX 31,0,0,Dak Prescott sacked by Calais Campbell for -1 yards,2.410,1.240
1,8:40,4,9,JAX 32,0,3,Brett Maher 50 yard field goal good,1.240,3.000
1,8:36,,,DAL 35,0,3,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,8:36,1,10,JAX 25,0,3,T.J. Yeldon right guard for 6 yards (tackle by Jeff Heath and Leighton Vander Esch),0.610,0.870
1,8:02,2,4,JAX 31,0,3,Niles Paul left end for -3 yards (tackle by Taco Charlton),0.870,-0.230
1,7:27,3,7,JAX 28,0,3,Blake Bortles pass incomplete short left intended for T.J. Yeldon,-0.230,-1.500
1,7:21,4,7,JAX 28,0,3,"Logan Cooke punts 30 yards out of bounds. Penalty on Matt Overton: Offensive Holding, 10 yards",-1.500,-2.390
1,7:13,1,10,JAX 48,0,3,Tavon Austin right end for 3 yards (tackle by Jalen Ramsey),2.390,2.250
1,6:31,2,7,JAX 45,0,3,Ezekiel Elliott left tackle for 2 yards (tackle by Calais Campbell),2.250,1.820
1,5:48,3,5,JAX 43,0,3,Dak Prescott pass complete short middle to Cole Beasley for 15 yards (tackle by A.J. Bouye),1.820,3.710
1,5:14,1,10,JAX 28,0,3,Ezekiel Elliott up the middle for 3 yards (tackle by Myles Jack and Telvin Smith),3.710,3.570
1,4:39,2,7,JAX 25,0,3,"Dak Prescott up the middle for 8 yards. Dak Prescott fumbles, recovered by Dak Prescott at JAC-24",3.570,4.440
1,3:58,1,10,JAX 17,0,3,Dak Prescott pass incomplete deep left intended for Michael Gallup (defended by A.J. Bouye),4.440,3.850
1,3:52,2,10,JAX 17,0,9,"Dak Prescott left end for 17 yards, touchdown",3.850,7.000
1,3:47,,,JAX 15,0,10,Brett Maher kicks extra point good,0.000,0.000
1,3:47,,,DAL 35,0,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,3:47,1,10,JAX 25,0,10,Blake Bortles left end for 12 yards (tackle by Jaylon Smith),0.610,1.400
1,3:09,1,10,JAX 37,0,10,T.J. Yeldon right tackle for 3 yards (tackle by Anthony Brown),1.400,1.260
1,2:32,2,7,JAX 40,0,10,T.J. Yeldon up the middle for 4 yards (tackle by Dorance Armstrong),1.260,1.090
1,1:52,3,3,JAX 44,0,10,Blake Bortles pass complete short middle to Keelan Cole for 17 yards (tackle by Anthony Brown),1.090,2.980
1,1:15,1,10,DAL 39,0,10,Jamaal Charles up the middle for 2 yards (tackle by Jaylon Smith),2.980,2.710
1,0:43,2,8,DAL 37,0,10,Blake Bortles pass complete short middle to Jamaal Charles for 5 yards (tackle by Leighton Vander Esch),2.710,2.680
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,DAL 32,0,10,Blake Bortles sacked by Maliek Collins for -8 yards,2.680,0.590
2,14:23,4,11,DAL 40,0,10,Logan Cooke punts 24 yards out of bounds,0.590,0.140
2,14:17,1,10,DAL 16,0,10,Ezekiel Elliott up the middle for 6 yards (tackle by Malik Jackson),-0.140,0.280
2,13:49,2,4,DAL 22,0,10,Dak Prescott right end for 7 yards (tackle by Taven Bryan),0.280,0.870
2,13:08,1,10,DAL 29,0,10,Ezekiel Elliott right end for 20 yards (tackle by Myles Jack),0.870,2.190
2,12:21,1,10,DAL 49,0,10,Dak Prescott pass incomplete deep right intended for Allen Hurns,2.190,1.650
2,12:14,,,,,,Timeout #1 by Dallas Cowboys,,
2,12:14,2,10,DAL 49,0,10,Dak Prescott pass complete short left to Cole Beasley for -1 yards (tackle by Tyler Patmon),1.650,0.830
2,11:34,3,11,DAL 48,0,10,Dak Prescott pass complete deep right to Cole Beasley for 21 yards (tackle by Tyler Patmon),0.830,3.510
2,10:55,1,10,JAX 31,0,10,Ezekiel Elliott up the middle for no gain (tackle by Barry Church),3.510,2.970
2,10:13,2,10,JAX 31,0,10,Dak Prescott pass complete short right to Rico Gathers for 14 yards (tackle by Malik Jackson),2.970,4.440
2,9:34,1,10,JAX 17,0,16,"Dak Prescott pass complete short middle to Cole Beasley for 17 yards, touchdown",4.440,7.000
