Unnamed: 0,JAX,DAL
First Downs,10,23
Rush-Yds-TDs,18-65-0,42-206-2
Cmp-Att-Yd-TD-INT,15-26-149-1-1,17-27-183-2-0
Sacked-Yards,3-10,3-11
Net Pass Yards,139,172
Total Yards,204,378
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,4-30,3-25
Third Down Conv.,4-11,7-17
Fourth Down Conv.,0-1,2-2
Time of Possession,21:10,38:50
