Unnamed: 0,CAR,NYG
First Downs,14,21
Rush-Yds-TDs,24-89-0,36-118-1
Cmp-Att-Yd-TD-INT,14-35-182-1-3,20-30-263-3-3
Sacked-Yards,4-34,1-5
Net Pass Yards,148,258
Total Yards,237,376
Fumbles-Lost,3-2,1-1
Turnovers,5,4
Penalties-Yards,7-63,9-95
Third Down Conv.,8-17,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:21,34:39
