Quarter,Time,Tm,Detail,BUF,TEN
1.0,12:45,Titans,A.J. Brown 16 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
,6:02,Bills,Isaiah McKenzie 3 yard pass from Josh Allen (Tyler Bass kick),7,7
2.0,13:54,Titans,Derrick Henry 1 yard rush (Stephen Gostkowski kick),7,14
,8:35,Bills,Tyler Bass 43 yard field goal,10,14
,0:16,Titans,Ryan Tannehill 10 yard rush (Stephen Gostkowski kick),10,21
3.0,1:49,Titans,Jonnu Smith 4 yard pass from Ryan Tannehill (Stephen Gostkowski kick),10,28
4.0,10:00,Bills,T.J. Yeldon 22 yard pass from Josh Allen (pass failed),16,28
,3:57,Titans,Derrick Henry 9 yard rush (Stephen Gostkowski kick),16,35
,1:59,Titans,Jonnu Smith 7 yard pass from Ryan Tannehill (Stephen Gostkowski kick),16,42
