Unnamed: 0,BUF,TEN
First Downs,23,25
Rush-Yds-TDs,22-95-0,34-139-3
Cmp-Att-Yd-TD-INT,29-46-285-2-2,21-28-195-3-0
Sacked-Yards,1-10,0-0
Net Pass Yards,275,195
Total Yards,370,334
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,10-56,6-46
Third Down Conv.,13-17,6-10
Fourth Down Conv.,0-0,1-1
Time of Possession,32:24,27:36
