Unnamed: 0,DET,NOR
First Downs,24,20
Rush-Yds-TDs,23-85-0,12-50-1
Cmp-Att-Yd-TD-INT,30-42-341-2-0,31-44-326-0-3
Sacked-Yards,2-4,1-7
Net Pass Yards,337,319
Total Yards,422,369
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,6-39,10-83
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,36:52,23:08
