Quarter,Time,Tm,Detail,DET,NOR
1.0,8:14,Lions,Matt Prater 27 yard field goal,3,0
2.0,13:03,Lions,Theo Riddick 1 yard pass from Matthew Stafford (Matt Prater kick),10,0
,5:05,Saints,Wil Lutz 40 yard field goal,10,3
,0:56,Lions,Matt Prater 29 yard field goal,13,3
,0:00,Saints,Wil Lutz 32 yard field goal,13,6
3.0,8:57,Lions,Matt Prater 32 yard field goal,16,6
,1:42,Lions,Matt Prater 27 yard field goal,19,6
4.0,13:32,Saints,John Kuhn 1 yard rush (Wil Lutz kick),19,13
,11:38,Lions,Golden Tate 66 yard pass from Matthew Stafford (pass failed),25,13
,7:10,Lions,Matt Prater 52 yard field goal,28,13
