Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 67 yards, returned by Jeremy Ross for 13 yards (tackle by Christopher Milton)",0.000,0.370
1,14:57,1,10,NYJ 11,0,0,Matt Forte right tackle for no gain (tackle by Arthur Jones),-0.370,-0.780
1,14:15,2,10,NYJ 11,0,0,Ryan Fitzpatrick pass incomplete short right intended for Robby Anderson,-0.780,-1.420
1,14:11,3,10,NYJ 11,0,0,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall,-1.420,-2.490
1,14:06,4,10,NYJ 11,0,0,"Lac Edwards punts 46 yards, returned by Chester Rogers for 6 yards (tackle by Josh Martin)",-2.490,-2.190
1,13:56,1,10,IND 49,0,0,Frank Gore right end for 1 yard (tackle by Rontez Miles),2.190,1.780
1,13:15,2,9,,0,0,Andrew Luck middle for 6 yards (tackle by Leonard Williams),1.780,1.880
1,12:30,3,3,NYJ 44,0,0,Andrew Luck pass complete short left to T.Y. Hilton for 6 yards,1.880,3.050
1,11:57,1,10,NYJ 38,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 13 yards (tackle by Darrelle Revis),3.050,3.910
1,11:29,1,10,NYJ 25,0,0,"Phillip Dorsett for 7 yards. Penalty on Buster Skrine: Unnecessary Roughness, 9 yards",3.910,5.140
1,11:07,1,9,NYJ 9,0,0,Frank Gore left end for 2 yards (tackle by Jordan Jenkins),5.140,4.760
1,10:29,2,7,NYJ 7,6,0,"Andrew Luck pass complete short left to Dwayne Allen for 7 yards, touchdown",4.760,7.000
1,10:23,,,NYJ 15,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,10:23,,,IND 35,7,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
1,10:23,1,10,NYJ 25,7,0,"Nick Mangold for -5 yards. Nick Mangold fumbles, recovered by Ryan Fitzpatrick at NYJ-20",0.610,0.060
1,10:19,2,10,NYJ 25,7,0,Matt Forte middle for 6 yards (tackle by Edwin Jackson and Arthur Jones),0.060,0.170
1,9:44,3,4,NYJ 31,7,0,Ryan Fitzpatrick pass incomplete short right intended for Quincy Enunwa,0.170,-1.310
1,9:39,4,4,NYJ 31,7,0,"Lac Edwards punts 38 yards, fair catch by Chester Rogers",-1.310,-1.000
1,9:32,1,10,IND 31,7,0,Andrew Luck pass complete short right to Jack Doyle for 12 yards (tackle by Darron Lee),1.000,1.800
1,9:04,1,10,IND 43,7,0,Frank Gore right guard for 2 yards (tackle by Buster Skrine and David Harris),1.800,1.520
1,8:28,2,8,IND 45,7,0,Andrew Luck pass complete deep right to T.Y. Hilton for 34 yards,1.520,4.170
1,7:53,1,10,NYJ 21,13,0,"Andrew Luck pass complete deep right to Dwayne Allen for 21 yards, touchdown",4.170,7.000
1,7:45,,,NYJ 15,14,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,7:45,,,IND 35,14,0,"Pat McAfee kicks off 62 yards, returned by Jeremy Ross for 18 yards (tackle by Antonio Morrison)",0.000,-0.340
1,7:41,1,10,NYJ 21,14,0,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 17 yards (tackle by Mike Adams),0.340,1.470
1,6:55,1,10,NYJ 38,14,0,Matt Forte right tackle for 7 yards (tackle by Darius Butler),1.470,1.870
1,6:15,2,3,NYJ 45,14,0,Matt Forte right guard for 2 yards (tackle by D'Qwell Jackson),1.870,1.420
1,5:37,3,1,NYJ 47,14,0,Matt Forte middle for -3 yards (tackle by Edwin Jackson),1.420,-0.460
1,5:02,4,4,NYJ 44,14,0,"Lac Edwards punts 56 yards, touchback",-0.460,-0.280
1,4:53,1,10,IND 20,14,0,Frank Gore middle for 4 yards (tackle by Leonard Williams and Muhammad Wilkerson),0.280,0.270
1,4:11,2,6,IND 24,14,0,"Andrew Luck for 12 yards. Penalty on Sheldon Richardson: Unnecessary Roughness, 15 yards",0.270,2.320
1,3:51,1,10,NYJ 49,14,0,Frank Gore middle for 1 yard (tackle by Muhammad Wilkerson and Leonard Williams),2.320,1.920
1,3:06,2,9,NYJ 48,14,0,Andrew Luck pass incomplete short right intended for Frank Gore (defended by Jordan Jenkins),1.920,1.220
1,3:02,3,9,NYJ 48,14,0,Andrew Luck pass complete short left to Donte Moncrief for 10 yards (tackle by Darryl Roberts),1.220,0.000
1,2:45,,,,14,0,Timeout #1 by New York Jets,0.000,-3.050
1,2:45,1,10,NYJ 38,14,0,"Andrew Luck pass incomplete deep right intended for T.Y. Hilton. Penalty on Jack Mewhort: Offensive Holding, 10 yards (no play)",3.050,2.390
1,2:38,1,20,NYJ 48,14,0,Andrew Luck sacked by Deon Simon and Leonard Williams for -7 yards,2.390,0.210
1,1:51,2,27,IND 45,14,0,"Penalty on Andrew Luck: Delay of Game, 5 yards (no play)",0.210,-0.460
1,1:29,2,32,IND 40,14,0,Frank Gore middle for 7 yards (tackle by Darron Lee and Muhammad Wilkerson),-0.460,-0.160
1,0:51,3,25,IND 47,14,0,Frank Gore right end for 6 yards (tackle by Rontez Miles),-0.160,0.130
1,0:12,4,19,NYJ 47,14,0,"Matt Overton for -13 yards. Matt Overton fumbles, recovered by Pat McAfee at IND-40",0.130,0.380
Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 3,14,0,Matt Forte middle for 4 yards (tackle by Zach Kerr and Mike Adams),-0.380,-0.490
2,14:18,2,6,NYJ 7,14,0,Ryan Fitzpatrick pass complete short right to Matt Forte for 7 yards (tackle by Edwin Jackson),-0.490,-0.280
2,13:46,1,10,NYJ 14,14,0,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 10 yards,-0.280,0.540
2,13:15,1,10,NYJ 24,14,0,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 7 yards (tackle by Edwin Jackson),0.540,0.940
2,12:48,2,3,NYJ 31,14,0,C.J. Spiller middle for 3 yards (tackle by Curt Maggitt),0.940,1.200
2,12:09,1,10,NYJ 34,14,0,"Ryan Fitzpatrick pass complete short right to Matt Forte for 40 yards (tackle by Darius Butler). Penalty on Zach Kerr: Roughing the Passer, 13 yards",1.200,4.710
2,11:45,1,10,IND 13,14,0,Matt Forte left guard for 5 yards (tackle by Trent Cole),4.710,4.960
2,11:00,2,5,IND 8,14,0,Ryan Fitzpatrick pass incomplete short right intended for Austin Seferian-Jenkins (defended by Rashaan Melvin),4.960,0.000
2,10:56,,,,14,0,Timeout #1 by Indianapolis Colts,0.000,-4.100
2,10:56,3,5,IND 8,14,0,"Bilal Powell middle for 3 yards (tackle by Trent Cole). Penalty on Breno Giacomini: Unnecessary Roughness, 15 yards",4.100,2.120
2,10:36,4,17,IND 20,14,3,Nick Folk 38 yard field goal good,2.120,3.000
2,10:31,,,NYJ 35,14,3,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
2,10:31,1,10,IND 25,14,3,Andrew Luck pass complete deep left to T.Y. Hilton for 23 yards (tackle by Marcus Gilchrist),0.610,2.130
2,9:58,1,10,IND 48,14,3,Frank Gore right tackle for 19 yards (tackle by Marcus Gilchrist and Rontez Miles),2.130,3.380
2,9:13,1,10,NYJ 33,14,3,Frank Gore right tackle for -2 yards (tackle by Deon Simon and Leonard Williams),3.380,2.570
2,8:30,2,12,NYJ 35,14,3,Andrew Luck pass incomplete short middle intended for Erik Swoope,2.570,1.880
2,8:25,3,12,NYJ 35,14,3,Andrew Luck pass incomplete short left intended for Phillip Dorsett,1.880,0.970
2,8:25,4,12,NYJ 35,17,3,Adam Vinatieri 53 yard field goal good,0.970,3.000
