Unnamed: 0,IND,NYJ
First Downs,27,13
Rush-Yds-TDs,40-139-1,14-36-0
Cmp-Att-Yd-TD-INT,23-29-289-4-0,16-37-216-1-3
Sacked-Yards,1-7,1-2
Net Pass Yards,282,214
Total Yards,421,250
Fumbles-Lost,2-1,1-0
Turnovers,1,3
Penalties-Yards,3-28,6-90
Third Down Conv.,7-13,3-11
Fourth Down Conv.,0-1,1-2
Time of Possession,38:24,21:36
