Quarter,Time,Tm,Detail,IND,NYJ
1.0,10:23,Colts,Dwayne Allen 7 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
,7:45,Colts,Dwayne Allen 21 yard pass from Andrew Luck (Adam Vinatieri kick),14,0
2.0,10:31,Jets,Nick Folk 38 yard field goal,14,3
,8:16,Colts,Adam Vinatieri 53 yard field goal,17,3
,1:18,Colts,Dwayne Allen 23 yard pass from Andrew Luck (Adam Vinatieri kick),24,3
3.0,8:54,Colts,Donte Moncrief 3 yard pass from Andrew Luck (Adam Vinatieri kick),31,3
,1:08,Colts,Adam Vinatieri 36 yard field goal,34,3
4.0,14:54,Colts,Robert Turbin 5 yard rush (Adam Vinatieri kick),41,3
,11:19,Jets,Robbie Chosen 40 yard pass from Bryce Petty (Nick Folk kick),41,10
