Quarter,Time,Tm,Detail,BAL,SDG
2,9:43,Chargers,Malcom Floyd 21 yard pass from Philip Rivers (Nick Novak kick),0,7
,3:04,Chargers,Nick Novak 47 yard field goal,0,10
3,12:19,Ravens,Justin Tucker 43 yard field goal,3,10
4,7:51,Chargers,Nick Novak 30 yard field goal,3,13
,4:19,Ravens,Dennis Pitta 4 yard pass from Joe Flacco (Justin Tucker kick),10,13
,0:00,Ravens,Justin Tucker 38 yard field goal,13,13
OT,1:07,Ravens,Justin Tucker 38 yard field goal,16,13
