Unnamed: 0,BAL,SDG
First Downs,25,16
Rush-Yds-TDs,35-127-0,23-91-0
Cmp-Att-Yd-TD-INT,30-51-355-1-0,23-36-228-1-0
Sacked-Yards,5-39,6-39
Net Pass Yards,316,189
Total Yards,443,280
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,6-60,5-37
Third Down Conv.,12-24,3-15
Fourth Down Conv.,1-2,1-1
Time of Possession,39:02,34:51
