Unnamed: 0,BAL,CIN
First Downs,21,17
Rush-Yds-TDs,29-120-1,28-59-1
Cmp-Att-Yd-TD-INT,15-27-302-2-1,16-27-274-3-0
Sacked-Yards,3-21,4-30
Net Pass Yards,281,244
Total Yards,401,303
Fumbles-Lost,4-2,1-0
Turnovers,3,0
Penalties-Yards,13-113,8-65
Third Down Conv.,2-11,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,29:04,30:56
