Unnamed: 0,ARI,SFO
First Downs,18,11
Rush-Yds-TDs,23-65-0,20-51-1
Cmp-Att-Yd-TD-INT,29-45-354-1-2,16-24-185-0-3
Sacked-Yards,2-15,3-16
Net Pass Yards,339,169
Total Yards,404,220
Fumbles-Lost,0-0,2-1
Turnovers,2,4
Penalties-Yards,11-80,6-44
Third Down Conv.,5-16,2-9
Fourth Down Conv.,0-1,0-0
Time of Possession,34:45,25:15
