Quarter,Time,Tm,Detail,ARI,SFO
1.0,1:02,Cardinals,Nick Novak 30 yard field goal,3,0
2.0,1:58,49ers,Maurice Hicks 1 yard rush (Joe Nedney kick),3,7
3.0,12:00,Cardinals,Nick Novak 35 yard field goal,6,7
,7:21,Cardinals,Nick Novak 19 yard field goal,9,7
,0:06,49ers,Joe Nedney 48 yard field goal,9,10
4.0,10:45,Cardinals,Anquan Boldin 54 yard pass from Kurt Warner (Obafemi Ayanbadejo run),17,10
