Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Steven Hauschka kicks off 67 yards, returned by Andre Caldwell for 33 yards (tackle by Tom Zbikowski)",0.000,1.330
1,14:51,1,10,CIN 36,0,0,Carson Palmer pass incomplete short left intended for Laveranues Coles,1.330,0.790
1,14:47,2,10,CIN 36,0,0,Cedric Benson right tackle for no gain (tackle by Ray Lewis),0.790,0.100
1,14:01,3,10,CIN 36,0,0,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",0.100,-0.560
1,13:34,3,15,CIN 31,0,0,Carson Palmer pass complete deep middle to Chad Johnson for 21 yards (tackle by Fabian Washington). Penalty on Terrell Suggs: Defensive Offside (Declined),-0.560,2.390
1,13:04,1,10,BAL 48,0,0,Carson Palmer pass incomplete short left intended for Daniel Coats,2.390,1.850
1,12:59,2,10,BAL 48,0,0,Cedric Benson left guard for 7 yards (tackle by Tavares Gooden and Dawan Landry),1.850,2.080
1,12:15,3,3,BAL 41,0,0,Carson Palmer pass complete short middle to Chad Johnson for 16 yards (tackle by Domonique Foxworth),2.080,3.910
1,11:33,1,10,BAL 25,0,0,Cedric Benson left end for 2 yards (tackle by Ed Reed),3.910,3.630
1,11:07,2,8,BAL 23,0,0,Carson Palmer pass complete short left to Chad Johnson for 9 yards,3.630,4.650
1,10:38,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,4.650
1,10:38,1,10,BAL 14,0,0,Cedric Benson left tackle for -5 yards (tackle by Haloti Ngata),4.650,3.370
1,9:55,2,15,BAL 19,0,0,Cedric Benson right guard for 2 yards (tackle by Ray Lewis and Jarret Johnson),3.370,2.930
1,9:05,3,13,BAL 17,0,0,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",2.930,2.350
1,8:42,3,18,BAL 22,0,0,Carson Palmer middle for 8 yards (tackle by Chris Carr),2.350,2.510
1,8:01,4,10,BAL 14,0,0,"Shayne Graham 32 yard field goal no good, blocked by Kelly Gregg",2.510,-0.480
1,7:56,1,10,BAL 23,0,0,Joe Flacco pass complete short right to Todd Heap for 8 yards (tackle by Chris Crocker),0.480,1.010
1,7:24,2,2,BAL 31,0,0,Ray Rice middle for 4 yards (tackle by Chris Crocker and Roy Williams),1.010,1.270
1,6:54,1,10,BAL 35,0,0,Joe Flacco middle for 9 yards (tackle by Rey Maualuga),1.270,1.940
1,6:18,2,1,BAL 44,0,0,Le'Ron McClain middle for 1 yard (tackle by Dhani Jones),1.940,1.930
1,5:47,1,10,BAL 45,0,0,Joe Flacco pass complete short left to Ray Rice for 6 yards (tackle by Roy Williams),1.930,2.190
1,5:05,2,4,CIN 49,0,0,Joe Flacco pass complete short left to Todd Heap for 5 yards (tackle by Leon Hall and Rey Maualuga),2.190,2.650
1,4:29,1,10,CIN 44,0,0,Joe Flacco pass complete short left to Le'Ron McClain for 9 yards (tackle by Chris Crocker),2.650,3.330
1,3:55,2,1,CIN 35,0,0,Ray Rice left end for 21 yards (tackle by Roy Williams),3.330,4.650
1,3:19,1,10,CIN 14,0,0,Ray Rice right tackle for -1 yards (tackle by Rey Maualuga),4.650,3.850
1,2:41,2,11,CIN 15,0,0,Joe Flacco pass incomplete short right intended for Ray Rice,3.850,3.060
1,2:34,3,11,CIN 15,0,0,"Penalty on Matt Birk: False Start, 5 yards (no play)",3.060,2.610
1,2:34,,,,0,0,Timeout #2 by Baltimore Ravens,0.000,2.610
1,2:34,3,16,CIN 20,0,0,Joe Flacco pass incomplete deep right intended for Todd Heap is intercepted by Johnathan Joseph at CIN-19 and returned for 21 yards,2.610,-0.150
1,2:25,1,10,CIN 19,0,0,Carson Palmer pass complete short middle to Cedric Benson for 5 yards (tackle by Jarret Johnson),0.150,0.340
1,1:42,2,5,CIN 24,0,0,Cedric Benson right tackle for 6 yards (tackle by Chris Carr and Dawan Landry),0.340,0.940
1,1:42,1,10,CIN 30,0,0,"Penalty on Terrell Suggs: Neutral Zone Infraction, 5 yards (no play)",0.940,1.670
1,0:40,1,5,CIN 35,0,0,Cedric Benson middle for 2 yards (tackle by Terrell Suggs),1.670,1.340
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CIN 37,0,0,Cedric Benson left guard for 10 yards (tackle by Ed Reed),1.340,2.060
2,14:21,1,10,CIN 47,0,0,"Carson Palmer pass complete deep right to Chris Henry for 20 yards (tackle by Fabian Washington). Penalty on Kyle Cook: Offensive Holding, 10 yards (no play)",2.060,1.400
2,13:57,1,20,CIN 37,0,0,Cedric Benson right end for no gain (tackle by Ed Reed),1.400,0.170
2,13:12,2,20,CIN 37,0,0,Carson Palmer pass complete short middle to Chad Johnson for 8 yards (tackle by Haloti Ngata),0.170,0.560
2,12:27,3,12,CIN 45,0,6,"Carson Palmer pass incomplete short right intended for Chad Johnson is intercepted by Ed Reed at BAL-48 and returned for 52 yards, touchdown",0.560,-7.000
2,,,,CIN 2,0,7,Steven Hauschka kicks extra point good,0.000,0.000
2,,,,BAL 30,0,7,"Steven Hauschka kicks off 69 yards, returned by Andre Caldwell for 15 yards (tackle by Frank Walker)",0.000,-0.140
2,12:12,1,10,CIN 16,0,7,Cedric Benson middle for 7 yards (tackle by Ray Lewis and Dawan Landry),-0.140,0.420
2,11:35,2,3,CIN 23,0,7,Carson Palmer pass incomplete short right intended for Daniel Coats (defended by Fabian Washington),0.420,-0.450
2,11:30,3,3,CIN 23,0,7,Carson Palmer pass complete deep left to Chris Henry for 73 yards (tackle by Domonique Foxworth). Penalty on Domonique Foxworth: Defensive Pass Interfere (Declined),-0.450,6.280
2,11:05,1,4,BAL 4,0,7,Carson Palmer pass incomplete short right intended for Jeremi Johnson,6.280,5.340
2,10:56,,,,0,7,Timeout #1 by Cincinnati Bengals,0.000,5.340
2,10:56,2,4,BAL 4,0,7,Carson Palmer pass incomplete short left intended for Cedric Benson,5.340,4.490
2,10:49,3,4,BAL 4,0,7,Carson Palmer sacked by Jarret Johnson for -10 yards,4.490,2.510
2,10:16,4,14,BAL 14,3,7,Shayne Graham 32 yard field goal good,2.510,3.000
2,,,,CIN 30,3,7,"Shayne Graham kicks off 78 yards, touchback",0.000,0.280
2,10:11,1,10,BAL 20,3,7,Ray Rice right tackle for 5 yards (tackle by Rey Maualuga),0.280,0.410
2,9:42,2,5,BAL 25,3,7,Ray Rice left end for 1 yard (tackle by Rey Maualuga),0.410,-0.160
2,9:03,3,4,BAL 26,3,7,Ray Rice middle for 3 yards (tackle by Pat Sims),-0.160,-1.440
2,8:26,4,1,BAL 29,3,7,Sam Koch punts 31 yards,-1.440,-1.600
2,8:17,1,10,CIN 40,3,7,Cedric Benson left tackle for 1 yard (tackle by Jarret Johnson and Kelly Gregg),1.600,1.190
2,7:38,2,9,CIN 41,3,7,Cedric Benson right end for 15 yards (tackle by Fabian Washington),1.190,2.650
2,7:06,1,10,BAL 44,3,7,Cedric Benson right tackle for 4 yards (tackle by Justin Bannan and Terrell Suggs),2.650,2.650
2,6:26,2,6,BAL 40,3,7,Cedric Benson right guard for 2 yards (tackle by Terrell Suggs),2.650,2.210
2,5:43,3,4,BAL 38,3,7,Carson Palmer pass incomplete deep middle intended for Daniel Coats,2.210,0.720
2,5:37,4,4,BAL 38,3,7,"Kevin Huber punts 25 yards, fair catch by Ed Reed",0.720,0.320
2,5:28,1,10,BAL 13,3,7,Joe Flacco pass complete short right to Willis McGahee for 4 yards (tackle by Pat Sims),-0.320,-0.300
2,4:54,2,6,BAL 17,3,7,Willis McGahee middle for -2 yards (tackle by Rey Maualuga),-0.300,-1.180
2,4:16,3,8,BAL 15,3,7,Joe Flacco pass complete short middle to Todd Heap for 11 yards (tackle by Johnathan Joseph and Roy Williams),-1.180,0.670
2,3:40,1,10,BAL 26,3,7,Joe Flacco sacked by Jonathan Fanene for -5 yards,0.670,-0.550
2,3:01,2,15,BAL 21,3,7,Joe Flacco pass complete short right to Mark Clayton for -1 yards (tackle by Nedu Ndukwe),-0.550,-1.350
,,,,,,,"CIN challenged the fumble ruling, and the play was upheld.",,
2,3:01,3,16,BAL 20,3,7,"Penalty on Antwan Odom: Neutral Zone Infraction, 5 yards (no play)",-1.350,-0.690
2,2:50,3,11,BAL 25,3,7,Joe Flacco pass incomplete short right intended for Derrick Mason,-0.690,-1.700
2,2:44,4,11,BAL 25,3,7,"Sam Koch punts 60 yards, returned by Quan Cosby for 15 yards (tackle by Tavares Gooden)",-1.700,-0.940
2,2:32,1,10,CIN 30,3,7,Cedric Benson middle for 5 yards (tackle by Ray Lewis),0.940,1.070
2,2:06,2,5,CIN 35,3,7,Carson Palmer pass complete short right to Cedric Benson for 11 yards (tackle by Fabian Washington),1.070,1.990
2,1:58,1,10,CIN 46,3,7,Carson Palmer pass complete short right to Brian Leonard for 10 yards (tackle by Fabian Washington),1.990,2.650
2,1:26,1,10,BAL 44,3,7,"Carson Palmer pass complete short middle to Chad Johnson for 21 yards (tackle by Ed Reed). Chad Johnson fumbles (forced by Ed Reed), recovered by Domonique Foxworth at BAL-16 (tackle by Brian Leonard)",2.650,0.140
2,1:16,1,10,BAL 16,3,7,Ray Rice left tackle for 13 yards (tackle by Nedu Ndukwe),-0.140,0.870
2,0:50,1,10,BAL 29,3,7,Joe Flacco pass complete short right to Mark Clayton for 14 yards (tackle by Johnathan Joseph),0.870,1.800
2,0:43,1,10,BAL 43,3,7,Joe Flacco pass complete short middle to Todd Heap for 8 yards (tackle by Morgan Trent and Michael Johnson),1.800,2.330
2,0:33,,,,3,7,Timeout #3 by Baltimore Ravens,0.000,2.330
2,0:33,2,2,CIN 49,3,7,Joe Flacco sacked by Dhani Jones for -6 yards,2.330,0.830
2,0:12,3,8,BAL 45,3,7,Joe Flacco pass complete short left to Ray Rice for 6 yards (tackle by Roy Williams),0.830,0.000
2,0:06,,,,3,7,Timeout #3 by Cincinnati Bengals,0.000,0.000
2,0:06,4,2,CIN 49,3,7,Joe Flacco pass incomplete deep middle intended for Mark Clayton,0.000,2.190
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,3,7,"Shayne Graham kicks off 61 yards, returned by Lardarius Webb for 21 yards (tackle by Abdul Hodge)",0.000,0.940
3,14:53,1,10,BAL 30,3,7,Joe Flacco pass incomplete short left intended for Le'Ron McClain,0.940,0.390
3,14:51,2,10,BAL 30,3,7,Ray Rice left end for 5 yards (tackle by Rey Maualuga),0.390,0.370
3,14:14,3,5,BAL 35,3,7,Joe Flacco pass complete short left to Ray Rice for 5 yards (tackle by Leon Hall and Michael Johnson),0.370,1.600
3,13:35,1,10,BAL 40,3,7,Joe Flacco pass complete short right to Todd Heap for 2 yards (tackle by Johnathan Joseph),1.600,1.320
3,12:59,2,8,BAL 42,3,7,Ray Rice right guard for 3 yards (tackle by Nedu Ndukwe),1.320,1.030
3,12:18,3,5,BAL 45,3,7,Joe Flacco pass incomplete short middle intended for Mark Clayton (defended by Morgan Trent),1.030,-0.390
