Unnamed: 0,CIN,BAL
First Downs,22,12
Rush-Yds-TDs,34-142-1,18-82-0
Cmp-Att-Yd-TD-INT,18-31-271-1-1,22-31-186-1-2
Sacked-Yards,1-10,2-11
Net Pass Yards,261,175
Total Yards,403,257
Fumbles-Lost,3-1,0-0
Turnovers,2,2
Penalties-Yards,7-39,10-76
Third Down Conv.,5-13,3-11
Fourth Down Conv.,1-1,0-1
Time of Possession,34:19,25:41
