Unnamed: 0,NOR,ARI
First Downs,25,21
Rush-Yds-TDs,22-85-0,29-137-2
Cmp-Att-Yd-TD-INT,32-49-409-4-3,20-29-204-1-0
Sacked-Yards,0-0,2-15
Net Pass Yards,409,189
Total Yards,494,326
Fumbles-Lost,0-0,2-0
Turnovers,3,0
Penalties-Yards,8-49,4-20
Third Down Conv.,6-13,3-10
Fourth Down Conv.,1-1,1-1
Time of Possession,29:02,30:58
