Unnamed: 0,BAL,WAS
First Downs,15,9
Rush-Yds-TDs,43-156-0,26-52-0
Cmp-Att-Yd-TD-INT,9-18-81-0-3,13-29-83-1-1
Sacked-Yards,2-5,3-28
Net Pass Yards,76,55
Total Yards,232,107
Fumbles-Lost,0-0,2-1
Turnovers,3,2
Penalties-Yards,5-53,2-22
Third Down Conv.,5-15,5-17
Fourth Down Conv.,0-0,0-0
Time of Possession,32:05,27:55
