Quarter,Time,Tm,Detail,BAL,WAS
2.0,5:42,Redskins,John Hall 26 yard field goal,0,3
,0:26,Redskins,Chris Cooley 7 yard pass from Mark Brunell (John Hall kick),0,10
3.0,8:52,Ravens,Ed Reed 22 yard defensive fumble return (Matt Stover kick),7,10
,6:40,Ravens,B.J. Sams 78 yard punt return (Matt Stover kick),14,10
4.0,11:49,Ravens,Matt Stover 33 yard field goal,17,10
