Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"John Hall kicks off 68 yards, returned by B.J. Sams for 22 yards (tackle by Khary Campbell)",0.000,0.540
1,14:55,1,10,BAL 24,0,0,Jamal Lewis right end for -3 yards (tackle by Marcus Washington),0.540,-0.410
1,14:14,2,13,BAL 21,0,0,Kyle Boller pass complete to Daniel Wilcox for 2 yards (tackle by Lemar Marshall),-0.410,-0.820
1,13:36,3,11,BAL 23,0,0,Kyle Boller up the middle for 1 yard (tackle by Antonio Pierce),-0.820,-1.770
1,12:52,4,10,BAL 24,0,0,"Dave Zastudil punts 47 yards, returned by Chad Morton for 6 yards (tackle by Daniel Wilcox)",-1.770,-1.270
1,12:41,1,10,WAS 35,0,0,"Mark Brunell pass complete to Clinton Portis for 3 yards (tackle by Anthony Weaver). Mark Brunell fumbles, recovered by Mark Brunell at WAS-33",1.270,1.130
1,12:02,2,7,WAS 38,0,0,Clinton Portis right guard for 2 yards (tackle by Terrell Suggs),1.130,0.700
1,11:24,3,5,WAS 40,0,0,Mark Brunell pass incomplete intended for Ladell Betts,0.700,-0.720
1,11:18,4,5,WAS 40,0,0,"Tom Tupa punts 41 yards, returned by B.J. Sams for 8 yards (tackle by Mike Sellers)",-0.720,-0.740
1,11:09,1,10,BAL 27,0,0,Kyle Boller pass complete to Kevin Johnson for 21 yards (tackle by Sean Taylor),0.740,2.130
1,10:44,1,10,BAL 48,0,0,Jamal Lewis up the middle for -1 yards (tackle by Lemar Marshall and Demetric Evans),2.130,1.450
1,10:04,2,11,BAL 47,0,0,Kyle Boller pass complete to Terry Jones for 4 yards (tackle by Lemar Marshall),1.450,1.290
1,9:27,3,7,WAS 49,0,0,Kyle Boller sacked by Antonio Pierce for -4 yards,1.290,-0.260
1,9:01,4,11,BAL 47,0,0,Dave Zastudil punts 44 yards,-0.260,0.380
1,8:51,1,10,WAS 9,0,0,"Mark Brunell pass complete to Taylor Jacobs for 4 yards (tackle by Will Demps). Penalty on Anthony Weaver: Roughing the Passer, 15 yards",-0.380,0.810
1,8:26,1,10,WAS 28,0,0,Mark Brunell pass complete to Clinton Portis for 8 yards (tackle by Gary Baxter),0.810,1.340
1,7:44,2,2,WAS 36,0,0,Clinton Portis right end for -1 yards (tackle by Jarret Johnson),1.340,0.500
1,7:01,3,3,WAS 35,0,0,Mark Brunell pass incomplete intended for Chris Cooley (defended by Adalius Thomas),0.500,-1.040
1,6:55,4,3,WAS 35,0,0,Tom Tupa punts 20 yards,-1.040,-1.930
1,6:49,1,10,BAL 45,0,0,Jamal Lewis left tackle for 2 yards (tackle by Ryan Clark),1.930,1.650
1,6:16,2,8,BAL 47,0,0,Chester Taylor up the middle for 2 yards (tackle by Marcus Washington),1.650,1.220
1,5:39,3,6,BAL 49,0,0,Kyle Boller pass incomplete intended for Kevin Johnson (defended by Joe Salave'a),1.220,-0.130
1,5:34,4,6,BAL 49,0,0,"Dave Zastudil punts 40 yards, fair catch by Chad Morton",-0.130,0.370
1,5:27,1,10,WAS 11,0,0,Mark Brunell pass complete to Clinton Portis for 1 yard (tackle by Ed Reed),-0.370,-0.710
1,4:43,2,9,WAS 12,0,0,Mark Brunell pass complete to Chris Cooley for 5 yards (tackle by Ray Lewis),-0.710,-0.720
1,3:58,3,4,WAS 17,0,0,Mark Brunell pass complete to Rod Gardner for 9 yards (tackle by Deion Sanders),-0.720,0.670
1,3:09,1,10,WAS 26,0,0,Clinton Portis left end for 1 yard (tackle by Marques Douglas),0.670,0.270
1,2:30,2,9,WAS 27,0,0,Mark Brunell pass incomplete intended for Taylor Jacobs (defended by Deion Sanders),0.270,-0.430
1,2:22,3,9,WAS 27,0,0,Mark Brunell pass incomplete intended for Laveranues Coles,-0.430,-1.570
1,2:16,4,9,WAS 27,0,0,"Tom Tupa punts 55 yards, returned by B.J. Sams for 14 yards (tackle by Ade Jimoh)",-1.570,-1.070
1,2:04,1,10,BAL 32,0,0,Kyle Boller pass incomplete intended for Clarence Moore,1.070,0.530
1,1:59,2,10,BAL 32,0,0,Kyle Boller pass complete to Daniel Wilcox for 7 yards (tackle by Antonio Pierce),0.530,0.760
1,1:22,3,3,BAL 39,0,0,Jamal Lewis right end for 2 yards (tackle by Ryan Clark and Demetric Evans),0.760,-0.650
1,0:43,4,1,BAL 41,0,0,"Dave Zastudil punts 33 yards, fair catch by Chad Morton",-0.650,-0.670
1,0:36,1,10,WAS 26,0,0,Clinton Portis right guard for 9 yards (tackle by Chris McAlister),0.670,1.350
Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,WAS 35,0,0,Clinton Portis up the middle for no gain (tackle by Kelly Gregg),1.350,0.630
2,14:20,3,1,WAS 35,0,0,Clinton Portis left end for 1 yard (tackle by Adalius Thomas),0.630,1.330
