Unnamed: 0,LVR,NYG
First Downs,24,16
Rush-Yds-TDs,20-117-0,31-149-0
Cmp-Att-Yd-TD-INT,30-46-296-1-2,15-20-110-1-0
Sacked-Yards,1-10,3-12
Net Pass Yards,286,98
Total Yards,403,247
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,6-65,4-35
Third Down Conv.,4-12,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,29:49,30:11
