Quarter,Time,Tm,Detail,LVR,NYG
1.0,10:46,Giants,Evan Engram 30 yard pass from Daniel Jones (Graham Gano kick),0,7
,5:44,Raiders,Hunter Renfrow 2 yard pass from Derek Carr (Daniel Carlson kick),7,7
2.0,14:48,Raiders,Daniel Carlson 25 yard field goal,10,7
,3:24,Giants,Graham Gano 35 yard field goal,10,10
,0:06,Raiders,Daniel Carlson 32 yard field goal,13,10
3.0,13:28,Giants,Xavier McKinney 41 yard interception return (Graham Gano kick),13,17
,5:20,Raiders,Daniel Carlson 25 yard field goal,16,17
4.0,14:07,Giants,Graham Gano 32 yard field goal,16,20
,3:21,Giants,Graham Gano 38 yard field goal,16,23
