Unnamed: 0,HOU,DAL
First Downs,12,21
Rush-Yds-TDs,17-34-0,37-170-1
Cmp-Att-Yd-TD-INT,23-38-198-0-2,19-30-203-3-0
Sacked-Yards,0-0,2-19
Net Pass Yards,198,184
Total Yards,232,354
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,7-55,9-73
Third Down Conv.,3-13,8-16
Fourth Down Conv.,1-1,1-2
Time of Possession,24:46,35:14
