Quarter,Time,Tm,Detail,HOU,DAL
1.0,8:55,Texans,Kris Brown 19 yard field goal,3,0
2.0,5:58,Cowboys,Mike Vanderjagt 22 yard field goal,3,3
,0:00,Texans,Kris Brown 48 yard field goal,6,3
3.0,10:13,Cowboys,Terrell Owens 3 yard pass from Drew Bledsoe (Mike Vanderjagt kick),6,10
,3:41,Cowboys,Terrell Owens 21 yard pass from Drew Bledsoe (Mike Vanderjagt kick),6,17
4.0,14:57,Cowboys,Marion Barber III 1 yard rush (Mike Vanderjagt kick),6,24
,11:28,Cowboys,Mike Vanderjagt 21 yard field goal,6,27
,2:24,Cowboys,Terrell Owens 2 yard pass from Tony Romo (Mike Vanderjagt kick),6,34
