Unnamed: 0,STL,BAL
First Downs,14,14
Rush-Yds-TDs,27-67-0,31-77-1
Cmp-Att-Yd-TD-INT,19-36-208-0-5,18-30-184-0-1
Sacked-Yards,4-11,2-13
Net Pass Yards,197,171
Total Yards,264,248
Fumbles-Lost,1-1,2-1
Turnovers,6,2
Penalties-Yards,7-63,6-40
Third Down Conv.,5-14,5-15
Fourth Down Conv.,1-3,0-0
Time of Possession,29:07,30:53
