Quarter,Time,Down,ToGo,Location,STL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,"Penalty on Jason Brown: False Start, 5 yards (no play)",0.280,-0.310
1,15:00,1,15,BAL 15,0,0,Kyle Boller sacked by James Hall for -2 yards,-0.310,-1.280
1,14:20,2,17,BAL 13,0,0,Kyle Boller pass complete short right to Willis McGahee for 1 yard (tackle by Ronald Bartell),-1.280,-2.030
1,13:39,3,16,BAL 14,0,0,Kyle Boller pass complete short middle to Musa Smith for 8 yards (tackle by Will Witherspoon),-2.030,-1.900
1,13:03,4,8,BAL 22,0,0,"Sam Koch punts 58 yards, returned by Brandon Williams for 7 yards (tackle by Jamaine Winborne)",-1.900,-0.740
1,12:51,1,10,STL 27,0,0,Brian Leonard up the middle for 3 yards (tackle by Ray Lewis and Bart Scott),0.740,0.600
1,12:11,2,7,STL 30,0,0,"Penalty on Andy McCollum: False Start, 5 yards (no play)",0.600,-0.070
1,11:53,2,12,STL 25,0,0,Gus Frerotte pass complete short middle to Dominique Byrd for 11 yards (tackle by Dawan Landry),-0.070,0.700
1,11:17,3,1,STL 36,0,0,Brian Leonard right guard for 2 yards (tackle by Haloti Ngata and Kelly Gregg),0.700,1.470
1,10:46,1,10,STL 38,0,0,Gus Frerotte pass incomplete deep right intended for Drew Bennett,1.470,0.920
1,10:43,2,10,STL 38,0,0,Brian Leonard up the middle for 3 yards (tackle by Kelly Gregg and Ray Lewis),0.920,0.630
1,10:10,3,7,STL 41,0,0,Gus Frerotte pass incomplete short left intended for Marques Hagans (defended by Jarret Johnson),0.630,-0.650
1,10:07,4,7,STL 41,0,0,"Donnie Jones punts 40 yards, fair catch by Yamon Figurs",-0.650,-0.150
1,9:59,1,10,BAL 19,0,0,Kyle Boller pass incomplete short left intended for Todd Heap,0.150,-0.390
1,9:51,2,10,BAL 19,0,0,Willis McGahee right tackle for 11 yards,-0.390,0.940
1,9:15,1,10,BAL 30,0,0,Kyle Boller for 2 yards (tackle by Adam Carriker),0.940,0.660
1,8:35,2,8,BAL 32,0,0,Kyle Boller pass complete short right to Derrick Mason for 6 yards,0.660,0.760
1,7:54,3,2,BAL 38,0,0,Kyle Boller pass complete short middle to Mark Clayton for 8 yards (tackle by Ronald Bartell),0.760,1.990
1,7:16,1,10,BAL 46,0,0,Kyle Boller pass incomplete deep right intended for Demetrius Williams (defended by Ronald Bartell),1.990,1.450
1,7:08,2,10,BAL 46,0,0,Willis McGahee up the middle for 3 yards (tackle by Victor Adeyanju),1.450,1.160
1,6:30,3,7,BAL 49,0,0,Kyle Boller pass incomplete short left intended for Mark Clayton,1.160,-0.130
1,6:26,4,7,BAL 49,0,0,"Sam Koch punts 41 yards, fair catch by Brandon Williams",-0.130,0.380
1,6:17,1,10,STL 10,0,0,Brian Leonard right end for -1 yards (tackle by Jarret Johnson),-0.380,-0.850
1,5:43,2,11,STL 9,0,0,Gus Frerotte sacked by Kelly Gregg for -2 yards,-0.850,-1.770
1,5:01,3,13,STL 7,0,0,Gus Frerotte sacked by Haloti Ngata for -2 yards,-1.770,-2.490
1,4:26,4,15,STL 5,0,0,"Donnie Jones punts 48 yards, fair catch by Yamon Figurs",-2.490,-2.060
1,4:16,1,10,BAL 47,0,0,Kyle Boller pass complete short middle to Derrick Mason for 23 yards (tackle by Fakhir Brown),2.060,3.580
1,3:53,1,10,STL 30,0,0,Willis McGahee left end for 4 yards (tackle by Pisa Tinoisamoa),3.580,3.570
1,3:14,2,6,STL 26,0,0,Willis McGahee left guard for 5 yards (tackle by O.J. Atogwe),3.570,3.530
1,2:36,3,1,STL 21,0,0,Willis McGahee up the middle for no gain (tackle by Pisa Tinoisamoa and Leonard Little),3.530,2.210
1,2:36,4,1,STL 21,0,0,"Penalty on Jason Brown: False Start, 5 yards (no play)",2.210,1.760
1,1:51,4,6,STL 26,0,3,Matt Stover 43 yard field goal good,1.760,3.000
1,,,,BAL 30,0,3,"Matt Stover kicks off 62 yards, returned by Brandon Williams for 25 yards",0.000,1.140
1,1:46,1,10,STL 33,0,3,Brian Leonard right end for 4 yards (tackle by Dwan Edwards),1.140,1.130
1,1:13,2,6,STL 37,0,3,Gus Frerotte pass incomplete short middle intended for Drew Bennett is intercepted by Dwan Edwards at STL-44 and returned for 1 yard (tackle by Andy McCollum),1.130,-2.720
1,1:06,1,10,STL 43,0,3,Willis McGahee up the middle for 3 yards (tackle by La'Roi Glover),2.720,2.580
1,0:28,2,7,STL 40,0,3,Kyle Boller pass complete short right to Derrick Mason for 3 yards (tackle by Ronald Bartell),2.580,2.280
Quarter,Time,Down,ToGo,Location,STL,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,STL 37,0,3,Kyle Boller pass complete short right to Quinn Sypniewski for 7 yards (tackle by Pisa Tinoisamoa),2.280,3.580
