Quarter,Time,Tm,Detail,STL,BAL
1.0,1:46,Ravens,Matt Stover 43 yard field goal,0,3
2.0,13:24,Ravens,Matt Stover 42 yard field goal,0,6
,4:13,Ravens,Willis McGahee 6 yard rush (Matt Stover kick),0,13
3.0,12:11,Ravens,Matt Stover 23 yard field goal,0,16
,6:44,Rams,Jeff Wilkins 32 yard field goal,3,16
4.0,14:57,Ravens,Matt Stover 31 yard field goal,3,19
,11:06,Ravens,Matt Stover 36 yard field goal,3,22
