#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NWE 27,10,2:52,73,Touchdown
2,1,12:00,KAN 32,7,2:35,22,Downs
3,1,3:03,NWE 25,8,3:07,67,Field Goal
4,2,13:17,NWE 18,11,5:50,82,Touchdown
5,2,3:44,NWE 40,3,0:57,4,Punt
6,2,0:13,NWE 18,1,0:13,-1,End of Half
7,3,11:53,NWE 17,6,2:25,9,Punt
8,3,9:19,NWE 25,6,2:11,26,Punt
9,3,6:22,NWE 46,3,1:21,54,Touchdown
10,3,2:50,NWE 28,7,2:41,58,Field Goal
11,4,14:07,NWE 25,5,1:46,35,Downs
12,4,10:28,NWE 13,5,1:33,16,Punt
13,4,5:14,NWE 25,3,0:59,-7,Punt
14,4,4:00,NWE 14,3,1:16,-13,Punt
