Unnamed: 0,KAN,NWE
First Downs,26,25
Rush-Yds-TDs,27-185-2,35-124-3
Cmp-Att-Yd-TD-INT,28-35-368-4-0,16-36-267-0-0
Sacked-Yards,3-16,3-20
Net Pass Yards,352,247
Total Yards,537,371
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,15-139,6-55
Third Down Conv.,4-11,5-15
Fourth Down Conv.,0-0,0-2
Time of Possession,30:14,29:46
