Unnamed: 0,NOR,ATL
First Downs,24,19
Rush-Yds-TDs,26-95-0,21-89-1
Cmp-Att-Yd-TD-INT,31-41-296-3-0,23-34-303-1-1
Sacked-Yards,0-0,1-0
Net Pass Yards,296,303
Total Yards,391,392
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-59,4-55
Third Down Conv.,8-12,5-10
Fourth Down Conv.,0-1,0-1
Time of Possession,36:44,23:16
