Quarter,Time,Tm,Detail,HOU,TEN
2.0,9:59,Texans,Kenny Stills 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,0
,3:14,Texans,Kenny Stills 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,0
3.0,5:34,Titans,Ryan Tannehill 1 yard rush (Ryan Succop kick),14,7
4.0,13:35,Titans,A.J. Brown 5 yard pass from Ryan Tannehill (Ryan Succop kick),14,14
,10:34,Texans,Carlos Hyde 10 yard rush (Ka'imi Fairbairn kick),21,14
,3:26,Texans,Ka'imi Fairbairn 29 yard field goal,24,14
,2:04,Titans,Dion Lewis 11 yard pass from Ryan Tannehill (Ryan Succop kick),24,21
