Unnamed: 0,HOU,TEN
First Downs,23,24
Rush-Yds-TDs,35-140-1,28-163-1
Cmp-Att-Yd-TD-INT,19-27-243-2-2,22-37-279-2-1
Sacked-Yards,1-9,2-10
Net Pass Yards,234,269
Total Yards,374,432
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,5-27,4-30
Third Down Conv.,5-10,4-10
Fourth Down Conv.,0-0,1-2
Time of Possession,31:20,28:40
