Unnamed: 0,KAN,DEN
First Downs,18,24
Rush-Yds-TDs,22-74-0,37-221-2
Cmp-Att-Yd-TD-INT,23-44-221-1-0,13-18-152-1-0
Sacked-Yards,2-10,1-15
Net Pass Yards,211,137
Total Yards,285,358
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,13-118,4-30
Third Down Conv.,4-15,2-8
Fourth Down Conv.,4-4,1-1
Time of Possession,29:52,30:08
