Quarter,Time,Tm,Detail,KAN,DEN
1.0,7:50,Broncos,Jason Elam 30 yard field goal,0,3
,3:29,Broncos,Mike Anderson 44 yard rush (Jason Elam kick),0,10
,2:36,Broncos,Rod Smith 12 yard pass from Jake Plummer (Jason Elam kick),0,17
2.0,5:59,Broncos,Jason Elam 51 yard field goal,0,20
,0:24,Chiefs,Lawrence Tynes 28 yard field goal,3,20
3.0,8:34,Broncos,Jake Plummer 1 yard rush (Jason Elam kick),3,27
4.0,12:30,Broncos,Jason Elam 25 yard field goal,3,30
,2:00,Chiefs,Samie Parker 21 yard pass from Trent Green (Lawrence Tynes kick),10,30
