Quarter,Time,Tm,Detail,SEA,DAL
1.0,9:10,Cowboys,Brandon Aubrey 30 yard field goal,0,3
,7:38,Seahawks,D.K. Metcalf 73 yard pass from Geno Smith (Jason Myers kick),7,3
,4:53,Cowboys,CeeDee Lamb 15 yard pass from Dak Prescott (Brandon Aubrey kick),7,10
2.0,11:37,Cowboys,Brandin Cooks 7 yard pass from Dak Prescott (Brandon Aubrey kick),7,17
,8:54,Seahawks,Zach Charbonnet 1 yard rush (Jason Myers kick),14,17
,1:30,Cowboys,Brandon Aubrey 31 yard field goal,14,20
,0:04,Seahawks,D.K. Metcalf 1 yard pass from Geno Smith (Jason Myers kick),21,20
3.0,10:01,Seahawks,Geno Smith 5 yard rush (Jason Myers kick),28,20
,3:41,Cowboys,Tony Pollard 6 yard rush (Brandon Aubrey kick),28,27
4.0,14:17,Seahawks,D.K. Metcalf 3 yard pass from Geno Smith (Jason Myers kick),35,27
,11:23,Cowboys,Brandon Aubrey 38 yard field goal,35,30
,4:37,Cowboys,Jake Ferguson 12 yard pass from Dak Prescott (Brandin Cooks pass from Dak Prescott),35,38
,1:43,Cowboys,Brandon Aubrey 32 yard field goal,35,41
