Unnamed: 0,SEA,DAL
First Downs,25,33
Rush-Yds-TDs,22-72-2,34-136-1
Cmp-Att-Yd-TD-INT,23-41-334-3-1,29-41-299-3-0
Sacked-Yards,1-0,4-24
Net Pass Yards,334,275
Total Yards,406,411
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,10-130,9-127
Third Down Conv.,9-14,8-14
Fourth Down Conv.,0-3,1-2
Time of Possession,23:33,36:27
