Unnamed: 0,CAR,DET
First Downs,16,19
Rush-Yds-TDs,28-28-0,15-50-1
Cmp-Att-Yd-TD-INT,26-33-355-3-0,23-35-229-2-0
Sacked-Yards,3-21,6-37
Net Pass Yards,334,192
Total Yards,362,242
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,11-100,1-10
Third Down Conv.,7-16,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,35:23,24:37
