Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DET 25,0,0,Ameer Abdullah right tackle for 16 yards (tackle by Colin Jones),0.610,1.660
1,14:25,1,10,DET 41,0,0,Matthew Stafford pass complete short right to Marvin Jones for 4 yards (tackle by Mike Adams),1.660,1.660
1,13:53,2,6,DET 45,0,0,Matthew Stafford pass complete short left to Golden Tate for 5 yards (tackle by Luke Kuechly and Shaq Thompson),1.660,1.620
1,13:14,3,1,,0,0,Matthew Stafford pass complete short left to Marvin Jones for 8 yards (tackle by Daryl Worley),1.620,2.790
1,12:34,1,10,CAR 42,0,0,"Matthew Stafford pass incomplete deep left intended for Marvin Jones (defended by Daryl Worley). Penalty on Daryl Worley: Defensive Pass Interference, 30 yards, Penalty on Thomas Davis: Defensive Offside (Declined) (no play)",2.790,4.780
1,12:27,1,10,CAR 12,0,0,Matthew Stafford pass incomplete short left intended for T.J. Jones,4.780,4.100
1,12:22,2,10,CAR 12,0,0,Matthew Stafford pass complete short left to Theo Riddick for no gain,4.100,3.120
1,11:41,3,10,CAR 12,0,0,Matthew Stafford pass incomplete short middle intended for Eric Ebron,3.120,2.630
1,11:36,4,10,CAR 12,0,3,Matt Prater 30 yard field goal good,2.630,3.000
1,11:32,,,DET 35,0,3,"Jeff Locke kicks off 68 yards, returned by Curtis Samuel for 24 yards (tackle by Don Carey)",0.000,-0.340
1,11:27,1,10,CAR 21,0,3,"Penalty on CAR: Offensive 12 On-field, 5 yards (no play)",0.340,-0.220
1,11:27,1,15,CAR 16,0,3,Jonathan Stewart right tackle for no gain (tackle by Tahir Whitehead),-0.220,-1.010
1,10:43,2,15,CAR 16,0,3,Cam Newton pass complete short left to Devin Funchess for 15 yards (tackle by Nevin Lawson),-1.010,1.000
