Unnamed: 0,ATL,SEA
First Downs,22,26
Rush-Yds-TDs,30-89-1,23-136-1
Cmp-Att-Yd-TD-INT,19-27-195-2-0,27-43-254-2-1
Sacked-Yards,1-5,3-30
Net Pass Yards,190,224
Total Yards,279,360
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,7-69,9-106
Third Down Conv.,9-14,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,30:21,29:39
