Unnamed: 0,SDG,DEN
First Downs,5,26
Rush-Yds-TDs,13-40-0,49-201-0
Cmp-Att-Yd-TD-INT,9-25-70-1-1,23-35-253-3-2
Sacked-Yards,2-14,1-6
Net Pass Yards,56,247
Total Yards,96,448
Fumbles-Lost,3-3,2-1
Turnovers,4,3
Penalties-Yards,9-83,7-60
Third Down Conv.,2-10,11-20
Fourth Down Conv.,0-0,0-1
Time of Possession,15:49,44:11
