Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Doug Brien kicks off 59 yards, returned by Jake Schifino for 12 yards (tackle by B.J. Askew)",0.000,0.480
1,14:56,1,10,TEN 23,0,0,Eddie George left tackle for 4 yards (tackle by Marvin Jones),0.480,0.470
1,14:15,2,6,TEN 27,0,0,Eddie George left guard for 7 yards (tackle by Tyrone Carter and Marvin Jones),0.470,1.200
1,13:34,1,10,TEN 34,0,0,Eddie George up the middle for 1 yard (tackle by Mo Lewis),1.200,0.790
1,12:58,2,9,TEN 35,0,0,Steve McNair pass complete to Eddie George for 6 yards (tackle by Aaron Beasley),0.790,0.890
1,12:12,3,3,TEN 41,6,0,"Steve McNair pass complete to Justin McCareins for 59 yards, touchdown",0.890,7.000
1,,,,NYJ 2,7,0,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Craig Hentrich kicks off 58 yards, returned by Jonathan Carter for 21 yards (tackle by Tony Beckham)",0.000,1.140
1,11:56,1,10,NYJ 33,7,0,Chad Pennington pass complete to Curtis Conway for 17 yards (tackle by Andre Dyson),1.140,2.260
1,11:20,1,10,NYJ 50,7,0,Chad Pennington pass complete to Jerald Sowell for 1 yard (tackle by Peter Sirmon),2.260,1.850
1,10:42,2,9,TEN 49,7,0,Curtis Martin right end for 9 yards (tackle by Lance Schulters),1.850,2.920
1,9:59,1,10,TEN 40,7,0,Curtis Martin up the middle for no gain (tackle by Robaire Smith and Rocky Calmus),2.920,2.370
1,9:18,2,10,TEN 40,7,0,Curtis Martin left end for 17 yards (tackle by Keith Bulluck and Andre Dyson),2.370,4.040
1,8:32,1,10,TEN 23,7,0,Curtis Martin right guard for -1 yards (tackle by Anthony Dunn and Keith Bulluck),4.040,3.360
1,7:54,2,11,TEN 24,7,0,Chad Pennington pass complete to Curtis Martin for 4 yards (tackle by Samari Rolle),3.360,3.200
1,7:09,3,7,TEN 20,7,0,Chad Pennington pass complete to Santana Moss for 6 yards (tackle by Rocky Calmus),3.200,2.660
1,7:02,4,1,TEN 14,7,0,Chad Pennington pass complete to Jerald Sowell for 4 yards (tackle by Lance Schulters),2.660,4.910
1,6:32,1,10,TEN 10,7,0,Curtis Martin right guard for -2 yards (tackle by Keith Bulluck),4.910,3.860
1,5:48,2,12,TEN 12,7,0,"Chad Pennington pass incomplete intended for Santana Moss (defended by Samari Rolle). Penalty on Samari Rolle: Unsportsmanlike Conduct, 6 yards",3.860,5.830
,,,,,,,"NYJ challenged the ruling, and the original play was overturned.",,
1,5:41,1,6,TEN 6,7,6,"Curtis Martin left end for 6 yards, touchdown",5.830,7.000
1,,,,TEN 2,7,7,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,7,"Doug Brien kicks off 53 yards, returned by Jake Schifino for 19 yards (tackle by Jamie Henderson)",0.000,1.330
1,5:27,1,10,TEN 36,7,7,Steve McNair pass incomplete intended for Eddie George,1.330,0.790
1,5:23,2,10,TEN 36,7,7,Eddie George right guard for 7 yards (tackle by Sam Cowart and Sam Garnes),0.790,1.030
1,4:38,3,3,TEN 43,7,7,Steve McNair pass complete to Derrick Mason for 9 yards (tackle by Donnie Abraham),1.030,2.390
1,3:52,1,10,NYJ 48,7,7,"Steve McNair sacked for -9 yards. Steve McNair fumbles, recovered by Justin McCareins at TEN-47",2.390,1.170
1,3:10,2,15,TEN 47,7,7,Eddie George right guard for 6 yards (tackle by Mo Lewis and Tyrone Carter),1.170,1.290
1,2:27,3,9,NYJ 47,7,7,Steve McNair pass incomplete intended for Derrick Mason is intercepted by Sam Garnes at NYJ-42,1.290,-1.730
1,2:20,1,10,NYJ 42,7,7,Chad Pennington pass complete to Jerald Sowell for 9 yards (tackle by Keith Bulluck),1.730,2.400
1,1:52,2,1,TEN 49,7,7,Chad Pennington sacked by Rocky Calmus for 0 yards,2.400,1.690
1,1:07,3,1,TEN 49,7,7,Curtis Martin up the middle for 2 yards (tackle by Kevin Carter),1.690,2.460
1,0:27,1,10,TEN 47,7,7,Chad Pennington pass incomplete intended for Anthony Becht,2.460,1.910
1,0:21,2,10,TEN 47,7,7,Chad Pennington pass complete to Jonathan Carter for 9 yards (tackle by Andre Dyson),1.910,2.410
Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,TEN 38,7,7,Curtis Martin left tackle for 5 yards (tackle by Rocky Calmus and Albert Haynesworth),2.410,3.380
2,14:20,1,10,TEN 33,7,7,Chad Pennington pass incomplete intended for Curtis Conway is intercepted by Andre Dyson at TEN-0,3.380,-0.280
2,14:11,1,10,TEN 20,7,7,Eddie George up the middle for 4 yards (tackle by Sam Cowart and Shaun Ellis),0.280,0.270
2,13:32,2,6,TEN 24,7,7,Steve McNair pass complete to Derrick Mason for 8 yards (tackle by Ray Mickens),0.270,1.070
2,13:09,1,10,TEN 32,7,7,Steve McNair pass complete to Erron Kinney for 10 yards (tackle by Sam Cowart),1.070,1.730
2,12:31,1,10,TEN 42,7,7,Eddie George right guard for 1 yard (tackle by Marvin Jones and Victor Hobson),1.730,1.320
2,11:46,2,9,TEN 43,7,7,Steve McNair pass incomplete intended for Tyrone Calico (defended by Aaron Beasley),1.320,0.630
2,11:40,,,,7,7,Timeout #1 by Tennessee Titans,0.000,0.630
2,11:40,3,9,TEN 43,7,7,Steve McNair pass incomplete intended for Frank Wycheck (defended by Jamie Henderson),0.630,-0.520
2,11:35,4,9,TEN 43,7,7,"Craig Hentrich punts 52 yards, returned by Santana Moss for 13 yards (tackle by Eddie Berlin)",-0.520,-0.040
2,11:24,1,10,NYJ 18,7,7,"Curtis Martin left tackle for 14 yards (tackle by Peter Sirmon). Penalty on Kevin Mawae: Offensive Holding, 9 yards (no play)",0.040,-0.720
2,11:02,1,19,NYJ 9,7,7,Chad Pennington sacked by Albert Haynesworth for -8 yards,-0.720,-2.020
2,10:16,2,27,NYJ 1,7,7,Chad Pennington pass complete to Chris Baker for 6 yards (tackle by Peter Sirmon),-2.020,-2.710
2,9:32,3,21,NYJ 7,7,7,Chad Pennington pass complete to Jerald Sowell for 2 yards (tackle by Andre Dyson),-2.710,-2.490
2,9:02,4,19,NYJ 9,7,7,"Dan Stryzinski punts 42 yards, returned by Justin McCareins for 10 yards (tackle by Chris Baker)",-2.490,-2.850
2,8:44,1,10,NYJ 41,7,7,"Steve McNair for no gain. Steve McNair fumbles, recovered by Steve McNair at NYJ-45",2.850,1.770
2,8:13,2,14,NYJ 45,7,7,Chris Brown right tackle for 5 yards (tackle by Bryan Thomas),1.770,1.750
2,7:32,3,9,NYJ 40,7,7,Steve McNair pass incomplete intended for Derrick Mason is intercepted by Tyrone Carter at NYJ-7 and returned for 14 yards (tackle by Chris Brown),1.750,-0.340
2,7:20,1,10,NYJ 21,7,7,Curtis Martin right end for 6 yards (tackle by Brad Kassell),0.340,0.610
2,6:30,2,4,NYJ 27,7,7,Chad Pennington up the middle for 7 yards (tackle by Brad Kassell),0.610,1.200
2,5:53,1,10,NYJ 34,7,7,Chad Pennington pass incomplete intended for Curtis Conway,1.200,0.660
2,5:49,2,10,NYJ 34,7,7,Chad Pennington pass incomplete intended for Santana Moss is intercepted by Samari Rolle at NYJ-47 and returned for 4 yards (tackle by Jerald Sowell),0.660,-2.720
2,5:39,1,10,NYJ 43,7,7,Eddie George left tackle for 13 yards (tackle by Marvin Jones),2.720,3.580
2,5:11,1,10,NYJ 30,7,7,Eddie George right guard for -4 yards (tackle by Bryan Thomas and Victor Hobson),3.580,2.490
2,4:24,2,14,NYJ 34,7,7,Steve McNair pass incomplete intended for Eddie George (defended by Marvin Jones),2.490,1.820
2,4:18,3,14,NYJ 34,7,7,Steve McNair pass incomplete intended for Erron Kinney,1.820,1.060
2,4:12,4,14,NYJ 34,7,7,Craig Hentrich 52 yard field goal no good,1.060,-1.730
2,4:07,1,10,NYJ 42,7,7,Curtis Martin up the middle for 1 yard (tackle by Tank Williams and Kevin Carter),1.730,1.320
2,3:28,2,9,NYJ 43,7,7,Chad Pennington pass complete to Santana Moss for 39 yards (tackle by Keith Bulluck),1.320,4.370
2,2:54,1,10,TEN 18,7,7,Curtis Martin left end for 3 yards (tackle by Brad Kassell),4.370,4.250
2,2:36,2,7,TEN 15,7,7,Santana Moss right end for 8 yards (tackle by Brad Kassell),4.250,5.600
2,2:00,1,7,TEN 7,7,7,Chad Pennington right end for 2 yards (tackle by Peter Sirmon and Kevin Carter),5.600,5.150
2,1:20,2,5,TEN 5,7,7,Curtis Martin left end for -6 yards (tackle by Tank Williams),5.150,3.120
2,0:31,,,,7,7,Timeout #1 by New York Jets,0.000,3.120
2,0:31,3,11,TEN 11,7,7,Chad Pennington up the middle for 2 yards (tackle by Peter Sirmon),3.120,2.830
2,0:22,,,,7,7,Timeout #2 by Tennessee Titans,0.000,2.830
2,0:22,4,9,TEN 9,7,10,Doug Brien 27 yard field goal good,2.830,3.000
