Unnamed: 0,TEN,NYJ
First Downs,19,19
Rush-Yds-TDs,23-84-0,30-97-1
Cmp-Att-Yd-TD-INT,21-35-272-2-2,18-23-231-2-2
Sacked-Yards,2-9,2-8
Net Pass Yards,263,223
Total Yards,347,320
Fumbles-Lost,2-0,0-0
Turnovers,2,2
Penalties-Yards,5-36,3-17
Third Down Conv.,7-14,4-9
Fourth Down Conv.,0-1,1-1
Time of Possession,28:42,31:18
