Quarter,Time,Tm,Detail,TEN,NYJ
1.0,12:02,Titans,Justin McCareins 59 yard pass from Steve McNair (Gary Anderson kick),7,0
,5:34,Jets,Curtis Martin 6 yard rush (Doug Brien kick),7,7
2.0,0:18,Jets,Doug Brien 27 yard field goal,7,10
3.0,6:10,Titans,Gary Anderson 35 yard field goal,10,10
,3:32,Jets,Kevin Swayne 27 yard pass from Chad Pennington (Doug Brien kick),10,17
4.0,10:45,Jets,Curtis Conway 8 yard pass from Chad Pennington (Doug Brien kick),10,24
,1:52,Titans,Derrick Mason 8 yard pass from Steve McNair (Gary Anderson kick),17,24
