Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Miles Sanders up the middle for 4 yards (tackle by Blake Martinez),0.610,0.600
1,14:23,2,6,PHI 29,0,0,Jordan Howard right tackle for 19 yards (tackle by Will Redmond),0.600,2.130
1,13:49,1,10,PHI 48,0,0,Carson Wentz pass incomplete short left intended for Nelson Agholor,2.130,1.580
1,13:46,2,10,PHI 48,0,0,Carson Wentz pass complete short right to Jordan Howard for no gain (tackle by Adrian Amos),1.580,0.890
1,13:02,3,10,PHI 48,0,0,Carson Wentz pass incomplete short right intended for Zach Ertz,0.890,-0.190
1,12:58,4,10,PHI 48,0,0,"Cameron Johnston punts 41 yards, returned by Darrius Shepherd for no gain (tackle by Rudy Ford)",-0.190,0.370
1,12:49,1,10,GNB 11,0,0,"Aaron Rodgers pass complete short left to Jamaal Williams for no gain (tackle by Nigel Bradham). Penalty on Derek Barnett: Unnecessary Roughness, 15 yards",-0.370,0.670
1,12:25,1,10,GNB 26,0,0,Aaron Rodgers pass complete short middle to Davante Adams for 9 yards (tackle by Malcolm Jenkins),0.670,1.350
1,11:52,2,1,GNB 35,0,0,Aaron Rodgers pass complete deep right to Davante Adams for 58 yards (tackle by Sidney Jones),1.350,5.600
1,11:11,,,,,,Timeout #1 by Green Bay Packers,,
1,11:11,1,7,PHI 7,0,0,Aaron Rodgers pass complete short middle to Davante Adams for 4 yards (tackle by Rodney McLeod),5.600,5.530
1,10:36,2,3,PHI 3,0,6,"Aaron Jones right tackle for 3 yards, touchdown",5.530,7.000
1,10:31,,,PHI 15,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,10:31,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,10:31,1,10,PHI 25,0,7,Jordan Howard up the middle for 4 yards (tackle by Dean Lowry and Kenny Clark),0.610,0.600
1,9:50,2,6,PHI 29,0,7,Jordan Howard right end for 3 yards (tackle by Kenny Clark),0.600,0.300
1,9:14,3,3,PHI 32,0,7,Carson Wentz pass complete short left to Zach Ertz for 14 yards (tackle by Adrian Amos),0.300,1.990
1,8:35,1,10,PHI 46,0,7,Jordan Howard left tackle for 1 yard (tackle by Dean Lowry),1.990,1.590
1,7:54,2,9,PHI 47,0,7,Carson Wentz pass incomplete deep right intended for Mack Hollins,1.590,0.890
1,7:48,3,9,PHI 47,0,7,Carson Wentz left end for 6 yards (tackle by Adrian Amos),0.890,0.130
1,7:08,4,3,GNB 47,0,7,"Cameron Johnston punts 37 yards, fair catch by Darrius Shepherd at GB-10",0.130,0.380
1,7:02,1,10,GNB 10,0,7,Aaron Jones left end for 7 yards (tackle by Fletcher Cox),-0.380,-0.090
1,6:24,2,3,GNB 17,0,7,"Penalty on Bryan Bulaga: False Start, 5 yards (no play)",-0.090,-0.630
1,6:07,2,8,GNB 12,0,7,Aaron Rodgers pass complete short left to Davante Adams for 12 yards (tackle by Rodney McLeod),-0.630,0.540
1,5:26,1,10,GNB 24,0,7,"Aaron Rodgers pass incomplete deep left intended for Jimmy Graham. Penalty on Marquez Valdes-Scantling: Offensive Pass Interference, 10 yards (no play)",0.540,-0.500
1,5:20,1,20,GNB 14,0,7,"Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 4 yards (tackle by Sidney Jones). Penalty on Zach Brown: Face Mask (15 Yards), 15 yards",-0.500,1.140
1,4:55,1,10,GNB 33,0,7,Aaron Rodgers pass complete short right to Davante Adams for 11 yards (tackle by Avonte Maddox),1.140,1.860
1,4:20,1,10,GNB 44,0,7,Geronimo Allison left end for 7 yards (tackle by Rasul Douglas and Nigel Bradham),1.860,2.260
1,3:43,2,3,PHI 49,0,7,Aaron Rodgers pass complete short right to Marcedes Lewis for 10 yards (tackle by Hassan Ridgeway),2.260,2.980
1,2:56,1,10,PHI 39,0,7,Aaron Jones left guard for no gain (tackle by Rasul Douglas and Malcolm Jenkins),2.980,2.440
1,2:13,2,10,PHI 39,0,7,Aaron Rodgers pass complete short right to Davante Adams for 13 yards (tackle by Avonte Maddox),2.440,3.840
1,1:41,1,10,PHI 26,0,7,Aaron Jones left end for no gain (tackle by Rasul Douglas),3.840,3.300
1,1:05,2,10,PHI 26,0,7,Aaron Rodgers left end for 3 yards (tackle by Malcolm Jenkins),3.300,3.010
1,0:17,3,7,PHI 23,0,7,Aaron Rodgers pass complete short middle to Jimmy Graham for 8 yards (tackle by Rasul Douglas),3.010,4.580
Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 15,0,7,Danny Vitale up the middle for 3 yards (tackle by Andrew Sendejo and Avonte Maddox),4.580,4.450
2,14:15,2,7,PHI 12,0,7,Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling,4.450,3.580
2,14:08,3,7,PHI 12,0,7,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Andrew Sendejo),3.580,2.630
2,14:04,4,7,PHI 12,0,10,Mason Crosby 30 yard field goal good,2.630,3.000
2,14:01,,,GNB 35,0,10,"Mason Crosby kicks off 66 yards, returned by Miles Sanders for 67 yards (tackle by Mason Crosby)",0.000,3.310
2,13:51,1,10,GNB 34,0,10,Carson Wentz pass complete short right to Zach Ertz for 5 yards (tackle by Adrian Amos),3.310,3.450
2,13:18,2,5,GNB 29,0,10,Carson Wentz pass complete short middle to Zach Ertz for 10 yards (tackle by Adrian Amos),3.450,4.310
2,12:38,1,10,GNB 19,0,10,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,4.310,3.750
2,12:33,2,10,GNB 19,0,10,Carson Wentz pass complete short right to Dallas Goedert for 13 yards (tackle by Blake Martinez),3.750,5.830
2,11:52,1,6,GNB 6,6,10,"Carson Wentz pass complete short middle to Alshon Jeffery for 6 yards, touchdown",5.830,7.000
2,11:48,,,GNB 15,7,10,Jake Elliott kicks extra point good,0.000,0.000
2,11:48,,,PHI 35,7,10,"Jake Elliott kicks off 66 yards, returned by Tremon Smith for 25 yards (tackle by Craig James)",0.000,0.540
2,11:43,1,10,GNB 24,7,10,Aaron Jones left end for -2 yards (tackle by Andrew Sendejo),0.540,-0.270
2,10:59,2,12,GNB 22,7,10,Aaron Rodgers pass complete short right to Geronimo Allison for 2 yards (tackle by Rodney McLeod),-0.270,-0.690
2,10:20,3,10,GNB 24,7,10,"Aaron Rodgers pass complete short right to Davante Adams for 40 yards (tackle by Rodney McLeod and Derek Barnett). Penalty on Kamu Grugier-Hill: Defensive Offside (Declined) . Penalty on Rodney McLeod: Face Mask (15 Yards), 15 yards",-0.690,4.170
2,9:56,1,10,PHI 21,7,10,Aaron Jones right guard for 4 yards (tackle by Derek Barnett),4.170,4.200
2,9:17,2,6,PHI 17,7,10,Aaron Jones up the middle for 4 yards (tackle by Nathan Gerry),4.200,4.240
2,8:33,3,2,PHI 13,7,10,Aaron Rodgers pass incomplete short left intended for Davante Adams,4.240,2.690
2,8:28,4,2,PHI 13,7,13,Mason Crosby 31 yard field goal good,2.690,3.000
2,8:24,,,GNB 35,7,13,"Mason Crosby kicks off 25 yards, out of bounds",0.000,1.600
2,8:24,1,10,PHI 40,7,13,Miles Sanders right tackle for 6 yards (tackle by Blake Martinez and Adrian Amos),1.600,1.860
2,7:46,2,4,PHI 46,7,13,Miles Sanders right end for 3 yards (tackle by Will Redmond and Rashan Gary),1.860,1.550
2,7:00,3,1,PHI 49,7,13,Carson Wentz right guard for 2 yards (tackle by Blake Martinez),1.550,2.320
2,6:42,1,10,GNB 49,7,13,"Carson Wentz pass incomplete deep middle intended for Dallas Goedert. Penalty on Kenny Clark: Roughing the Passer, 15 yards (no play)",2.320,3.310
2,6:32,1,10,GNB 34,7,13,Miles Sanders right end for 8 yards (tackle by Za'Darius Smith and Adrian Amos),3.310,3.850
2,6:05,2,2,GNB 26,7,13,Miles Sanders right end for no gain (tackle by Blake Martinez),3.850,3.140
2,5:24,3,2,GNB 26,7,13,Carson Wentz pass complete short right to Zach Ertz for 12 yards (tackle by Will Redmond),3.140,4.650
2,4:43,1,10,GNB 14,7,13,Carson Wentz left end for 5 yards (tackle by Will Redmond),4.650,4.900
2,4:00,2,5,GNB 9,7,13,Miles Sanders left tackle for 4 yards (tackle by Blake Martinez),4.900,4.960
2,3:33,3,1,GNB 5,7,13,Carson Wentz up the middle for 2 yards (tackle by Blake Martinez),4.960,6.510
2,2:51,1,3,GNB 3,7,13,Carson Wentz pass incomplete short right intended for Alshon Jeffery,6.510,5.530
2,2:48,2,3,GNB 3,13,13,"Carson Wentz pass complete short middle to Dallas Goedert for 3 yards, touchdown",5.530,7.000
2,2:45,,,GNB 15,14,13,Jake Elliott kicks extra point good,0.000,0.000
2,2:45,,,PHI 35,14,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,2:45,1,10,GNB 25,14,13,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",0.610,0.280
