Unnamed: 0,DET,GNB
First Downs,19,25
Rush-Yds-TDs,19-108-0,31-96-1
Cmp-Att-Yd-TD-INT,26-36-246-2-1,22-27-255-4-0
Sacked-Yards,1-10,3-28
Net Pass Yards,236,227
Total Yards,344,323
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,9-78,5-50
Third Down Conv.,4-9,5-9
Fourth Down Conv.,0-2,0-0
Time of Possession,26:35,33:25
