Unnamed: 0,WAS,NYG
First Downs,11,21
Rush-Yds-TDs,24-84-0,32-154-1
Cmp-Att-Yd-TD-INT,15-27-133-1-0,19-35-216-0-1
Sacked-Yards,1-8,2-16
Net Pass Yards,125,200
Total Yards,209,354
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-35,7-70
Third Down Conv.,3-13,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,24:17,35:43
