Unnamed: 0,BUF,KAN
First Downs,15,22
Rush-Yds-TDs,26-133-0,24-100-3
Cmp-Att-Yd-TD-INT,25-38-165-0-5,21-37-275-2-0
Sacked-Yards,3-32,0-0
Net Pass Yards,133,275
Total Yards,266,375
Fumbles-Lost,3-2,0-0
Turnovers,7,0
Penalties-Yards,5-31,5-60
Third Down Conv.,3-11,2-10
Fourth Down Conv.,0-2,0-0
Time of Possession,32:53,27:07
